ID,agestrat,TOTALscore
123001,204,190
123002,84,173
123003,156,189
123004,204,190
123005,180,189
123006,54,159
123007,54,147
123008,144,183
123009,84,172
123010,96,184
123011,204,185
123012,156,188
123013,156,189
123014,120,186
123015,78,143
123016,204,190
123017,180,185
123018,156,190
123019,144,176
123020,180,190
123021,36,109
123022,180,190
123023,120,186
123024,180,190
123025,180,188
123026,144,190
123027,66,152
123028,180,190
123029,144,186
123030,204,190
123031,180,189
123032,120,184
123033,42,109
123034,42,107
123035,144,188
123036,156,189
123037,132,187
123038,132,184
123039,96,177
123040,36,120
123041,144,187
123042,72,151
123043,144,186
123044,204,190
123045,204,190
123046,66,151
123047,132,188
123048,72,154
123049,120,180
123050,132,186
123051,132,189
123052,66,150
123053,78,151
123054,144,187
123055,144,187
123056,120,186
123057,72,156
123058,132,189
123059,132,187
123060,144,189
123061,120,185
123062,144,187
123063,42,106
123064,144,189
123065,108,178
123066,228,190
123067,144,189
123068,108,183
123069,120,186
123070,144,190
123071,36,97
123072,36,117
123073,42,140
123074,144,185
123075,132,187
123076,108,183
123077,144,189
123078,120,186
123079,54,143
123080,96,172
125001,108,181
125002,48,120
125003,48,117
125004,54,131
125005,60,157
125006,54,136
125007,60,152
125008,60,142
125009,54,154
125010,60,148
125011,66,158
125012,60,123
125013,60,141
125014,60,135
125015,54,142
125016,66,162
125017,72,165
125018,54,142
125019,60,138
125020,84,165
125021,60,146
125022,60,124
125023,60,127
125024,60,162
125025,0,5
125026,28,89
125027,14,52
125028,72,168
125029,10,38
125030,18,56
125031,60,154
125032,78,172
125033,60,141
125034,72,161
125035,20,78
125036,14,49
125037,72,182
125038,22,76
125039,2,16
125040,32,104
125041,14,54
125043,10,32
125044,10,33
125045,28,74
125046,60,127
125047,60,158
125048,60,145
125049,14,65
125053,8,28
125055,24,78
125057,14,48
125058,4,15
125059,28,99
125060,28,103
125061,4,27
125062,2,12
126001,66,162
126002,132,188
126003,108,179
126004,84,177
126005,60,139
126006,108,184
126007,96,144
126008,54,128
126009,54,133
126010,72,164
126011,66,146
126012,72,170
126013,60,152
126014,66,153
126015,132,187
126016,54,146
126017,132,187
126018,72,163
126019,108,186
126020,24,73
127001,18,63
127002,132,187
127003,2,20
127004,78,175
127005,6,29
127006,36,132
127007,54,157
127008,14,75
127009,16,56
127010,12,37
127011,66,140
127012,20,70
127013,12,57
