agestrat,TOTALscore,n,perc,cum_per,lag_tot,lag_cum_per
66,108,2,2.1505,5.3763,92,3.2258
66,116,1,1.0753,6.4516,108,5.3763
66,117,2,2.1505,8.6022,116,6.4516
66,121,2,2.1505,10.7527,117,8.6022
66,122,1,1.0753,11.828,121,10.7527
66,123,1,1.0753,12.9032,122,11.828
66,124,1,1.0753,13.9785,123,12.9032
66,125,1,1.0753,15.0538,124,13.9785
66,126,1,1.0753,16.129,125,15.0538
66,127,1,1.0753,17.2043,126,16.129
66,129,1,1.0753,18.2796,127,17.2043
66,130,1,1.0753,19.3548,129,18.2796
66,134,1,1.0753,20.4301,130,19.3548
66,139,1,1.0753,21.5054,134,20.4301
66,140,1,1.0753,22.5806,139,21.5054
66,141,2,2.1505,24.7312,140,22.5806
66,142,1,1.0753,25.8065,141,24.7312
66,143,2,2.1505,27.957,142,25.8065
66,144,4,4.3011,32.2581,143,27.957
66,145,3,3.2258,35.4839,144,32.2581
66,146,2,2.1505,37.6344,145,35.4839
66,147,3,3.2258,40.8602,146,37.6344
66,148,3,3.2258,44.086,147,40.8602
66,149,3,3.2258,47.3118,148,44.086
66,150,3,3.2258,50.5376,149,47.3118
66,151,6,6.4516,56.9892,150,50.5376
66,152,2,2.1505,59.1398,151,56.9892
66,153,4,4.3011,63.4409,152,59.1398
66,154,2,2.1505,65.5914,153,63.4409
66,155,3,3.2258,68.8172,154,65.5914
66,156,2,2.1505,70.9677,155,68.8172
66,157,2,2.1505,73.1183,156,70.9677
66,158,4,4.3011,77.4194,157,73.1183
66,159,3,3.2258,80.6452,158,77.4194
66,160,2,2.1505,82.7957,159,80.6452
66,161,1,1.0753,83.871,160,82.7957
66,162,3,3.2258,87.0968,161,83.871
66,163,2,2.1505,89.2473,162,87.0968
66,165,2,2.1505,91.3978,163,89.2473
66,166,1,1.0753,92.4731,165,91.3978
66,168,1,1.0753,93.5484,166,92.4731
66,169,1,1.0753,94.6237,168,93.5484
66,173,1,1.0753,95.6989,169,94.6237
66,178,1,1.0753,96.7742,173,95.6989
66,180,3,3.2258,100,178,96.7742
72,79,2,1.9048,1.9048,NA,NA
72,87,1,0.9524,2.8571,79,1.9048
72,95,1,0.9524,3.8095,87,2.8571
72,96,1,0.9524,4.7619,95,3.8095
72,97,1,0.9524,5.7143,96,4.7619
72,108,1,0.9524,6.6667,97,5.7143
72,118,1,0.9524,7.619,108,6.6667
72,122,1,0.9524,8.5714,118,7.619
72,126,1,0.9524,9.5238,122,8.5714
72,130,1,0.9524,10.4762,126,9.5238
72,131,1,0.9524,11.4286,130,10.4762
72,133,1,0.9524,12.381,131,11.4286
72,134,1,0.9524,13.3333,133,12.381
72,135,1,0.9524,14.2857,134,13.3333
72,137,1,0.9524,15.2381,135,14.2857
72,138,2,1.9048,17.1429,137,15.2381
72,139,1,0.9524,18.0952,138,17.1429
72,140,2,1.9048,20,139,18.0952
72,142,1,0.9524,20.9524,140,20
72,144,1,0.9524,21.9048,142,20.9524
72,146,1,0.9524,22.8571,144,21.9048
72,147,1,0.9524,23.8095,146,22.8571
72,148,3,2.8571,26.6667,147,23.8095
72,149,4,3.8095,30.4762,148,26.6667
72,150,3,2.8571,33.3333,149,30.4762
72,151,2,1.9048,35.2381,150,33.3333
72,154,6,5.7143,40.9524,151,35.2381
72,155,3,2.8571,43.8095,154,40.9524
72,156,4,3.8095,47.619,155,43.8095
72,157,5,4.7619,52.381,156,47.619
72,158,3,2.8571,55.2381,157,52.381
72,159,1,0.9524,56.1905,158,55.2381
72,160,4,3.8095,60,159,56.1905
72,161,3,2.8571,62.8571,160,60
72,162,3,2.8571,65.7143,161,62.8571
72,163,3,2.8571,68.5714,162,65.7143
72,164,1,0.9524,69.5238,163,68.5714
72,165,3,2.8571,72.381,164,69.5238
72,166,1,0.9524,73.3333,165,72.381
72,167,2,1.9048,75.2381,166,73.3333
72,168,3,2.8571,78.0952,167,75.2381
72,169,2,1.9048,80,168,78.0952
72,170,5,4.7619,84.7619,169,80
72,171,3,2.8571,87.619,170,84.7619
72,172,3,2.8571,90.4762,171,87.619
72,173,2,1.9048,92.381,172,90.4762
72,174,1,0.9524,93.3333,173,92.381
72,178,2,1.9048,95.2381,174,93.3333
72,182,1,0.9524,96.1905,178,95.2381
72,185,2,1.9048,98.0952,182,96.1905
72,188,1,0.9524,99.0476,185,98.0952
72,190,1,0.9524,100,188,99.0476
78,91,1,1.1236,1.1236,NA,NA
78,92,1,1.1236,2.2472,91,1.1236
78,99,1,1.1236,3.3708,92,2.2472
78,117,1,1.1236,4.4944,99,3.3708
78,120,1,1.1236,5.618,117,4.4944
78,124,1,1.1236,6.7416,120,5.618
78,126,1,1.1236,7.8652,124,6.7416
78,128,1,1.1236,8.9888,126,7.8652
78,129,1,1.1236,10.1124,128,8.9888
78,132,1,1.1236,11.236,129,10.1124
78,137,1,1.1236,12.3596,132,11.236
78,140,2,2.2472,14.6067,137,12.3596
78,142,2,2.2472,16.8539,140,14.6067
78,143,1,1.1236,17.9775,142,16.8539
78,144,2,2.2472,20.2247,143,17.9775
78,145,2,2.2472,22.4719,144,20.2247
78,147,1,1.1236,23.5955,145,22.4719
78,149,1,1.1236,24.7191,147,23.5955
78,150,5,5.618,30.3371,149,24.7191
78,151,1,1.1236,31.4607,150,30.3371
78,152,2,2.2472,33.7079,151,31.4607
78,153,1,1.1236,34.8315,152,33.7079
78,154,1,1.1236,35.9551,153,34.8315
78,155,2,2.2472,38.2022,154,35.9551
78,156,1,1.1236,39.3258,155,38.2022
78,157,3,3.3708,42.6966,156,39.3258
78,158,2,2.2472,44.9438,157,42.6966
78,159,1,1.1236,46.0674,158,44.9438
78,160,3,3.3708,49.4382,159,46.0674
78,161,2,2.2472,51.6854,160,49.4382
78,162,1,1.1236,52.809,161,51.6854
78,163,2,2.2472,55.0562,162,52.809
78,164,1,1.1236,56.1798,163,55.0562
78,165,3,3.3708,59.5506,164,56.1798
78,166,3,3.3708,62.9213,165,59.5506
78,167,2,2.2472,65.1685,166,62.9213
78,168,1,1.1236,66.2921,167,65.1685
78,169,3,3.3708,69.6629,168,66.2921
78,170,4,4.4944,74.1573,169,69.6629
78,171,2,2.2472,76.4045,170,74.1573
78,172,3,3.3708,79.7753,171,76.4045
78,173,2,2.2472,82.0225,172,79.7753
78,174,2,2.2472,84.2697,173,82.0225
78,175,2,2.2472,86.5169,174,84.2697
78,177,1,1.1236,87.6404,175,86.5169
78,179,2,2.2472,89.8876,177,87.6404
78,180,2,2.2472,92.1348,179,89.8876
78,181,2,2.2472,94.382,180,92.1348
78,182,2,2.2472,96.6292,181,94.382
78,183,1,1.1236,97.7528,182,96.6292
78,184,1,1.1236,98.8764,183,97.7528
78,186,1,1.1236,100,184,98.8764
84,107,1,0.8197,0.8197,NA,NA
84,113,1,0.8197,1.6393,107,0.8197
84,114,1,0.8197,2.459,113,1.6393
84,116,1,0.8197,3.2787,114,2.459
84,117,2,1.6393,4.918,116,3.2787
84,125,1,0.8197,5.7377,117,4.918
84,128,1,0.8197,6.5574,125,5.7377
84,131,1,0.8197,7.377,128,6.5574
84,132,2,1.6393,9.0164,131,7.377
84,133,1,0.8197,9.8361,132,9.0164
84,136,1,0.8197,10.6557,133,9.8361
84,137,1,0.8197,11.4754,136,10.6557
84,139,1,0.8197,12.2951,137,11.4754
84,140,1,0.8197,13.1148,139,12.2951
84,141,2,1.6393,14.7541,140,13.1148
84,142,1,0.8197,15.5738,141,14.7541
84,144,2,1.6393,17.2131,142,15.5738
84,147,1,0.8197,18.0328,144,17.2131
84,148,1,0.8197,18.8525,147,18.0328
84,151,1,0.8197,19.6721,148,18.8525
84,153,1,0.8197,20.4918,151,19.6721
84,154,1,0.8197,21.3115,153,20.4918
84,156,4,3.2787,24.5902,154,21.3115
84,157,1,0.8197,25.4098,156,24.5902
84,158,2,1.6393,27.0492,157,25.4098
84,159,1,0.8197,27.8689,158,27.0492
84,161,3,2.459,30.3279,159,27.8689
84,162,3,2.459,32.7869,161,30.3279
84,163,2,1.6393,34.4262,162,32.7869
84,164,1,0.8197,35.2459,163,34.4262
84,165,4,3.2787,38.5246,164,35.2459
84,166,3,2.459,40.9836,165,38.5246
84,167,6,4.918,45.9016,166,40.9836
84,168,1,0.8197,46.7213,167,45.9016
84,169,9,7.377,54.0984,168,46.7213
84,170,5,4.0984,58.1967,169,54.0984
84,171,3,2.459,60.6557,170,58.1967
84,172,8,6.5574,67.2131,171,60.6557
84,173,4,3.2787,70.4918,172,67.2131
84,174,4,3.2787,73.7705,173,70.4918
84,175,3,2.459,76.2295,174,73.7705
84,176,3,2.459,78.6885,175,76.2295
84,177,5,4.0984,82.7869,176,78.6885
84,178,2,1.6393,84.4262,177,82.7869
84,180,3,2.459,86.8852,178,84.4262
84,181,1,0.8197,87.7049,180,86.8852
84,182,5,4.0984,91.8033,181,87.7049
84,183,3,2.459,94.2623,182,91.8033
84,184,2,1.6393,95.9016,183,94.2623
84,185,1,0.8197,96.7213,184,95.9016
84,186,1,0.8197,97.541,185,96.7213
84,187,1,0.8197,98.3607,186,97.541
84,189,2,1.6393,100,187,98.3607
96,94,1,0.8264,0.8264,NA,NA
96,126,1,0.8264,1.6529,94,0.8264
96,128,1,0.8264,2.4793,126,1.6529
96,131,1,0.8264,3.3058,128,2.4793
96,133,1,0.8264,4.1322,131,3.3058
96,135,1,0.8264,4.9587,133,4.1322
96,140,1,0.8264,5.7851,135,4.9587
96,144,2,1.6529,7.438,140,5.7851
96,145,1,0.8264,8.2645,144,7.438
96,148,1,0.8264,9.0909,145,8.2645
96,150,1,0.8264,9.9174,148,9.0909
96,158,1,0.8264,10.7438,150,9.9174
96,159,1,0.8264,11.5702,158,10.7438
96,160,1,0.8264,12.3967,159,11.5702
96,161,1,0.8264,13.2231,160,12.3967
96,163,1,0.8264,14.0496,161,13.2231
96,164,3,2.4793,16.5289,163,14.0496
96,165,2,1.6529,18.1818,164,16.5289
96,166,2,1.6529,19.8347,165,18.1818
96,167,4,3.3058,23.1405,166,19.8347
96,169,4,3.3058,26.4463,167,23.1405
96,170,1,0.8264,27.2727,169,26.4463
96,172,2,1.6529,28.9256,170,27.2727
96,173,1,0.8264,29.7521,172,28.9256
96,174,3,2.4793,32.2314,173,29.7521
96,175,3,2.4793,34.7107,174,32.2314
96,176,7,5.7851,40.4959,175,34.7107
96,177,5,4.1322,44.6281,176,40.4959
96,178,7,5.7851,50.4132,177,44.6281
96,179,7,5.7851,56.1983,178,50.4132
96,180,12,9.9174,66.1157,179,56.1983
96,181,4,3.3058,69.4215,180,66.1157
96,182,4,3.3058,72.7273,181,69.4215
96,183,5,4.1322,76.8595,182,72.7273
96,184,6,4.9587,81.8182,183,76.8595
96,185,6,4.9587,86.7769,184,81.8182
96,186,6,4.9587,91.7355,185,86.7769
96,187,2,1.6529,93.3884,186,91.7355
96,188,2,1.6529,95.0413,187,93.3884
96,189,2,1.6529,96.6942,188,95.0413
96,190,4,3.3058,100,189,96.6942
108,113,1,0.9174,0.9174,NA,NA
108,130,1,0.9174,1.8349,113,0.9174
108,132,1,0.9174,2.7523,130,1.8349
108,139,1,0.9174,3.6697,132,2.7523
108,144,1,0.9174,4.5872,139,3.6697
108,148,1,0.9174,5.5046,144,4.5872
108,149,1,0.9174,6.422,148,5.5046
108,151,1,0.9174,7.3394,149,6.422
108,155,1,0.9174,8.2569,151,7.3394
108,158,1,0.9174,9.1743,155,8.2569
108,162,2,1.8349,11.0092,158,9.1743
108,164,1,0.9174,11.9266,162,11.0092
108,165,3,2.7523,14.6789,164,11.9266
108,166,1,0.9174,15.5963,165,14.6789
108,168,1,0.9174,16.5138,166,15.5963
108,169,3,2.7523,19.2661,168,16.5138
108,170,1,0.9174,20.1835,169,19.2661
108,171,3,2.7523,22.9358,170,20.1835
108,172,3,2.7523,25.6881,171,22.9358
108,173,1,0.9174,26.6055,172,25.6881
108,174,2,1.8349,28.4404,173,26.6055
108,176,4,3.6697,32.1101,174,28.4404
108,177,1,0.9174,33.0275,176,32.1101
108,178,2,1.8349,34.8624,177,33.0275
108,179,6,5.5046,40.367,178,34.8624
108,180,7,6.422,46.789,179,40.367
108,181,4,3.6697,50.4587,180,46.789
108,182,4,3.6697,54.1284,181,50.4587
108,183,6,5.5046,59.633,182,54.1284
108,184,10,9.1743,68.8073,183,59.633
108,185,5,4.5872,73.3945,184,68.8073
108,186,6,5.5046,78.8991,185,73.3945
108,187,7,6.422,85.3211,186,78.8991
108,188,6,5.5046,90.8257,187,85.3211
108,189,4,3.6697,94.4954,188,90.8257
108,190,6,5.5046,100,189,94.4954
120,110,1,0.9615,0.9615,NA,NA
120,118,1,0.9615,1.9231,110,0.9615
120,133,1,0.9615,2.8846,118,1.9231
120,146,1,0.9615,3.8462,133,2.8846
120,147,1,0.9615,4.8077,146,3.8462
120,156,1,0.9615,5.7692,147,4.8077
120,157,2,1.9231,7.6923,156,5.7692
120,161,1,0.9615,8.6538,157,7.6923
120,165,2,1.9231,10.5769,161,8.6538
120,168,1,0.9615,11.5385,165,10.5769
120,169,1,0.9615,12.5,168,11.5385
120,170,1,0.9615,13.4615,169,12.5
120,171,1,0.9615,14.4231,170,13.4615
120,173,3,2.8846,17.3077,171,14.4231
120,175,4,3.8462,21.1538,173,17.3077
120,176,1,0.9615,22.1154,175,21.1538
120,177,3,2.8846,25,176,22.1154
120,178,2,1.9231,26.9231,177,25
120,179,5,4.8077,31.7308,178,26.9231
120,180,6,5.7692,37.5,179,31.7308
120,181,3,2.8846,40.3846,180,37.5
120,182,3,2.8846,43.2692,181,40.3846
120,183,7,6.7308,50,182,43.2692
120,184,4,3.8462,53.8462,183,50
120,185,8,7.6923,61.5385,184,53.8462
120,186,11,10.5769,72.1154,185,61.5385
120,187,3,2.8846,75,186,72.1154
120,188,12,11.5385,86.5385,187,75
120,189,8,7.6923,94.2308,188,86.5385
120,190,6,5.7692,100,189,94.2308
132,113,1,0.9346,0.9346,NA,NA
132,126,1,0.9346,1.8692,113,0.9346
132,153,1,0.9346,2.8037,126,1.8692
132,165,1,0.9346,3.7383,153,2.8037
132,166,2,1.8692,5.6075,165,3.7383
132,167,2,1.8692,7.4766,166,5.6075
132,168,1,0.9346,8.4112,167,7.4766
132,169,1,0.9346,9.3458,168,8.4112
132,173,1,0.9346,10.2804,169,9.3458
132,174,2,1.8692,12.1495,173,10.2804
132,175,4,3.7383,15.8879,174,12.1495
132,176,1,0.9346,16.8224,175,15.8879
132,179,5,4.6729,21.4953,176,16.8224
132,180,2,1.8692,23.3645,179,21.4953
132,181,3,2.8037,26.1682,180,23.3645
132,182,2,1.8692,28.0374,181,26.1682
132,183,2,1.8692,29.9065,182,28.0374
132,184,3,2.8037,32.7103,183,29.9065
132,185,5,4.6729,37.3832,184,32.7103
132,186,12,11.215,48.5981,185,37.3832
132,187,14,13.0841,61.6822,186,48.5981
132,188,14,13.0841,74.7664,187,61.6822
132,189,15,14.0187,88.785,188,74.7664
132,190,12,11.215,100,189,88.785
144,120,1,1.1236,1.1236,NA,NA
144,125,1,1.1236,2.2472,120,1.1236
144,152,1,1.1236,3.3708,125,2.2472
144,155,1,1.1236,4.4944,152,3.3708
144,157,1,1.1236,5.618,155,4.4944
144,158,1,1.1236,6.7416,157,5.618
144,162,1,1.1236,7.8652,158,6.7416
144,172,1,1.1236,8.9888,162,7.8652
144,174,2,2.2472,11.236,172,8.9888
144,175,1,1.1236,12.3596,174,11.236
144,176,1,1.1236,13.4831,175,12.3596
144,178,1,1.1236,14.6067,176,13.4831
144,179,4,4.4944,19.1011,178,14.6067
144,180,1,1.1236,20.2247,179,19.1011
144,181,3,3.3708,23.5955,180,20.2247
144,182,3,3.3708,26.9663,181,23.5955
144,183,7,7.8652,34.8315,182,26.9663
144,184,2,2.2472,37.0787,183,34.8315
144,185,6,6.7416,43.8202,184,37.0787
144,186,8,8.9888,52.809,185,43.8202
144,187,9,10.1124,62.9213,186,52.809
144,188,12,13.4831,76.4045,187,62.9213
144,189,11,12.3596,88.764,188,76.4045
144,190,10,11.236,100,189,88.764
156,164,1,1.4925,1.4925,NA,NA
156,169,1,1.4925,2.9851,164,1.4925
156,173,1,1.4925,4.4776,169,2.9851
156,175,2,2.9851,7.4627,173,4.4776
156,176,2,2.9851,10.4478,175,7.4627
156,177,2,2.9851,13.4328,176,10.4478
156,178,1,1.4925,14.9254,177,13.4328
156,179,1,1.4925,16.4179,178,14.9254
156,180,3,4.4776,20.8955,179,16.4179
156,181,1,1.4925,22.3881,180,20.8955
156,182,2,2.9851,25.3731,181,22.3881
156,183,2,2.9851,28.3582,182,25.3731
156,184,5,7.4627,35.8209,183,28.3582
156,185,1,1.4925,37.3134,184,35.8209
156,186,6,8.9552,46.2687,185,37.3134
156,187,5,7.4627,53.7313,186,46.2687
156,188,4,5.9701,59.7015,187,53.7313
156,189,7,10.4478,70.1493,188,59.7015
156,190,20,29.8507,100,189,70.1493
180,131,1,1.6949,1.6949,NA,NA
180,137,1,1.6949,3.3898,131,1.6949
180,151,1,1.6949,5.0847,137,3.3898
180,159,1,1.6949,6.7797,151,5.0847
180,161,1,1.6949,8.4746,159,6.7797
180,170,1,1.6949,10.1695,161,8.4746
180,180,2,3.3898,13.5593,170,10.1695
180,181,3,5.0847,18.6441,180,13.5593
180,182,3,5.0847,23.7288,181,18.6441
180,184,2,3.3898,27.1186,182,23.7288
180,185,2,3.3898,30.5085,184,27.1186
180,186,2,3.3898,33.8983,185,30.5085
180,187,2,3.3898,37.2881,186,33.8983
180,188,3,5.0847,42.3729,187,37.2881
180,189,10,16.9492,59.322,188,42.3729
180,190,24,40.678,100,189,59.322
204,160,1,1.6129,1.6129,NA,NA
204,171,1,1.6129,3.2258,160,1.6129
204,177,1,1.6129,4.8387,171,3.2258
204,180,1,1.6129,6.4516,177,4.8387
204,182,1,1.6129,8.0645,180,6.4516
204,184,1,1.6129,9.6774,182,8.0645
204,185,1,1.6129,11.2903,184,9.6774
204,186,1,1.6129,12.9032,185,11.2903
204,187,1,1.6129,14.5161,186,12.9032
204,188,6,9.6774,24.1935,187,14.5161
204,189,4,6.4516,30.6452,188,24.1935
204,190,43,69.3548,100,189,30.6452
228,145,1,2.1739,2.1739,NA,NA
228,155,1,2.1739,4.3478,145,2.1739
228,181,1,2.1739,6.5217,155,4.3478
228,182,1,2.1739,8.6957,181,6.5217
228,184,2,4.3478,13.0435,182,8.6957
228,186,1,2.1739,15.2174,184,13.0435
228,187,2,4.3478,19.5652,186,15.2174
228,188,3,6.5217,26.087,187,19.5652
228,189,7,15.2174,41.3043,188,26.087
228,190,27,58.6957,100,189,41.3043
