ID,agestrat,COMscoreT,COMscoreT_SS
201001,66,28,110
201002,54,24,97
201003,66,29,117
201004,66,29,117
201007,72,28,104
201008,72,31,130
201009,78,29,108
201010,78,31,127
201011,66,19,76
201012,72,31,130
201013,66,28,110
201014,72,29,113
201015,66,29,117
201016,78,17,61
201017,60,31,136
201018,60,31,136
201019,60,31,136
201020,54,30,132
201021,60,28,115
201022,72,27,98
201024,78,17,61
201028,72,17,65
201029,60,27,108
201039,66,27,102
201040,66,29,117
201044,66,28,110
201045,72,27,98
201051,66,27,102
201052,42,21,95
201053,66,22,85
201055,66,27,102
201056,60,28,115
202001,132,31,111
202002,108,31,119
202003,48,22,95
202004,108,31,119
202005,66,31,133
202006,54,27,113
202008,96,31,121
202009,42,26,118
202012,132,29,94
202014,42,18,87
202015,78,27,96
202017,120,30,100
202018,48,18,84
202021,54,24,97
202022,28,14,88
202024,24,22,120
202026,48,26,112
202027,78,29,108
202028,42,24,107
202029,60,28,115
202031,60,30,129
202032,42,26,118
202035,28,19,100
202037,42,28,129
202038,42,31,145
202039,78,30,117
202042,42,23,101
202043,32,21,103
202044,36,23,107
202047,48,26,112
202048,96,27,91
202049,42,23,101
202050,96,30,109
202051,96,29,99
202052,78,31,127
202055,32,26,128
202056,54,28,120
202058,48,22,95
202060,48,25,106
202061,48,26,112
202062,42,24,107
202066,42,25,112
202067,54,28,120
202068,28,23,119
202071,54,26,107
202073,72,29,113
202076,120,31,115
202077,96,28,95
202081,24,18,102
202082,108,30,105
202083,132,31,111
202085,132,31,111
202087,42,21,95
202088,48,30,136
202089,78,30,117
202090,72,30,121
202091,96,31,121
202092,42,25,112
202093,60,24,94
202094,120,28,91
202095,28,14,88
202096,96,29,99
202097,84,22,76
202098,108,31,119
202099,132,31,111
202101,48,26,112
202103,66,29,117
202105,24,19,106
202106,60,28,115
202107,132,31,111
202109,132,31,111
202110,132,30,99
206001,42,22,98
206005,84,26,90
206007,84,29,103
206008,84,20,68
206009,84,25,86
206010,84,30,113
206011,84,31,124
206013,84,27,94
206016,96,24,80
206017,84,29,103
206020,78,29,108
206024,84,28,97
207001,72,28,104
207004,96,29,99
207007,84,27,94
207009,120,29,96
207010,48,25,106
207013,24,20,111
207015,24,16,96
207017,120,31,115
207018,96,26,88
207021,60,28,115
207024,84,28,97
208001,54,23,94
208002,54,21,89
208003,54,23,94
208004,48,14,72
208005,48,24,100
208006,66,26,98
208007,60,22,88
208008,54,28,120
211002,60,29,122
211003,120,31,115
211004,132,31,111
211005,108,29,97
211006,54,21,89
211007,42,18,87
211008,132,31,111
211009,78,30,117
211012,24,18,102
211014,28,27,137
211020,108,26,85
215001,84,26,90
215002,48,26,112
215004,84,29,103
215005,120,30,100
216001,84,31,124
216009,84,31,124
216013,132,30,99
216016,96,29,99
216017,84,30,113
218003,66,30,125
218004,36,24,112
218007,24,18,102
218009,72,27,98
219001,78,31,127
219002,108,27,89
219003,54,29,126
219004,84,29,103
219005,84,30,113
219006,96,31,121
219007,72,27,98
219008,120,31,115
219009,96,27,91
219010,66,23,88
220001,108,28,93
220002,78,30,117
220003,42,24,107
220004,24,16,96
220005,132,31,111
220007,54,27,113
220008,108,31,119
220009,84,28,97
220011,66,28,110
220012,60,24,94
220013,66,24,91
220014,60,27,108
220015,60,27,108
220016,48,24,100
220017,66,30,125
220018,78,27,96
220020,78,26,93
220021,24,21,115
220022,24,12,87
220023,54,25,100
220028,96,30,109
220030,132,28,90
220031,132,30,99
220032,120,28,91
220034,132,31,111
220036,120,31,115
221001,36,22,102
221004,28,23,119
221005,72,30,121
221006,72,27,98
221007,32,21,103
221008,72,30,121
221009,72,30,121
221012,72,30,121
223001,42,23,101
223002,24,20,111
223004,72,27,98
223005,96,29,99
223006,36,22,102
223007,24,15,94
223008,96,26,88
223009,108,28,93
223010,28,15,90
224001,96,30,109
224002,78,29,108
224003,66,28,110
224004,32,20,99
224005,96,28,95
224006,72,30,121
224007,48,24,100
224008,28,17,95
224009,72,30,121
224010,96,31,121
224011,36,21,98
224012,36,21,98
224013,60,27,108
224014,60,29,122
224015,48,23,97
224016,42,22,98
224017,60,29,122
224018,48,24,100
224019,72,28,104
224020,66,29,117
227002,32,20,99
227003,66,27,102
227007,28,20,105
227010,28,19,100
227012,28,15,90
227014,24,14,92
227018,32,19,97
302001,96,30,109
302002,108,30,105
302005,78,28,99
302006,84,31,124
302007,120,31,115
302008,96,30,109
302009,78,30,117
302010,204,31,108
302011,132,31,111
501001,60,22,88
501002,48,23,97
501003,84,14,47
501006,48,20,89
501009,132,31,111
501021,72,26,95
501029,60,27,108
501032,48,22,95
503001,66,18,73
505005,60,22,88
505015,156,30,98
505016,66,21,82
505021,132,25,76
505024,42,20,92
505035,48,18,84
505036,54,5,42
505037,54,9,54
505038,42,8,60
505039,42,3,47
505040,60,17,73
506001,54,2,40
506003,78,10,40
506004,96,18,57
506005,72,18,69
506008,120,31,115
506009,84,26,90
506011,42,15,79
506014,54,20,86
506015,78,14,51
506016,42,9,63
506022,78,21,75
507005,54,21,89
508001,60,19,79
508002,60,19,79
508005,156,24,69
508007,204,30,98
508008,42,24,107
508009,72,20,75
508010,72,17,65
508011,66,20,79
508013,54,19,83
508014,120,23,70
508015,42,14,76
508016,108,25,81
508017,156,31,109
508019,36,14,80
508021,36,14,80
508022,42,17,84
508023,84,23,79
508024,84,23,79
508025,84,23,79
508026,120,26,83
508027,54,20,86
508028,96,20,65
508029,156,27,84
508030,132,23,67
508031,60,18,76
508032,54,14,68
508033,48,13,70
508034,84,26,90
510001,96,29,99
510004,72,18,69
510005,108,22,69
510007,132,26,81
510008,120,25,79
510009,156,25,74
510010,132,22,63
510014,132,28,90
510016,156,25,74
517001,78,25,89
517003,54,2,40
517004,108,29,97
517005,132,28,90
517007,156,30,98
517009,120,25,79
517010,156,30,98
517011,84,25,86
517012,96,25,84
517013,60,21,85
517017,84,25,86
517018,42,17,84
517020,78,27,96
517021,120,30,100
517022,156,31,109
517023,66,29,117
517024,156,29,93
517026,96,28,95
517028,66,21,82
526003,48,12,67
527002,132,7,40
527004,108,18,53
527005,24,7,75
529001,72,24,88
529008,96,31,121
529015,96,30,109
529018,204,31,108
529020,204,31,108
529021,204,31,108
529022,132,30,99
529023,132,31,111
529024,204,31,108
529025,72,28,104
529026,66,24,91
529029,66,14,60
600001,132,21,58
600003,156,25,74
600006,96,21,68
