ID,agestrat,COGscoreT,COGscoreT_SS
141043,42,22,105
141044,54,23,95
141045,48,22,98
141046,54,24,97
141047,54,23,95
141048,48,25,109
141049,54,27,109
143001,132,42,104
143002,108,40,101
143003,48,28,122
143004,84,40,123
143005,84,41,130
143006,96,38,99
143007,72,34,110
143008,78,35,103
143009,60,31,117
143010,54,34,140
143011,32,32,153
143013,72,30,94
143017,60,31,117
143018,96,41,119
143019,132,42,104
143021,132,42,104
143022,132,42,104
143023,96,40,112
143024,32,20,110
143025,120,42,109
148001,84,29,78
148002,132,40,95
148003,66,29,98
148005,54,31,127
148006,132,42,104
148007,108,41,109
148009,132,42,104
148012,84,38,109
148013,84,33,90
148017,60,32,122
148018,28,19,110
148019,72,31,96
148022,108,39,97
148023,84,34,93
148024,48,25,109
148025,96,41,119
148026,78,34,98
148027,132,42,104
148028,60,26,96
148029,72,25,80
148030,84,33,90
148031,108,41,109
151001,156,39,91
151002,120,42,109
151003,108,42,118
151004,156,42,103
151005,48,25,109
151006,36,20,104
151008,78,41,140
151010,42,21,101
151011,42,22,105
151012,84,39,116
151013,132,42,104
151014,36,16,93
151015,108,38,94
151016,78,33,96
151017,36,14,88
151018,132,42,104
151019,120,42,109
151020,132,41,98
151021,108,42,118
151022,132,42,104
151023,120,42,109
151024,132,42,104
151025,132,42,104
151026,120,42,109
151027,60,31,117
151028,66,31,106
151029,54,26,104
151030,66,31,106
151031,96,42,127
151032,96,40,112
151033,120,41,100
151034,132,42,104
151035,54,22,92
151036,96,39,104
151037,96,41,119
151038,108,36,88
151039,120,42,109
151040,132,42,104
151041,36,21,108
151042,84,40,123
151043,84,40,123
151044,84,37,103
151045,36,19,101
151046,84,41,130
151047,96,36,93
151048,120,42,109
151049,96,40,112
151050,24,16,102
151051,108,39,97
151052,84,34,93
151053,84,39,116
151054,108,41,109
151055,120,41,100
151056,96,31,78
151057,84,40,123
151058,84,39,116
151059,84,39,116
151060,96,42,127
154002,42,23,109
154005,84,40,123
154010,120,41,100
154017,132,40,95
154018,120,42,109
154022,132,38,89
154028,108,41,109
154029,108,42,118
154030,132,42,104
154037,72,21,69
154040,84,33,90
154041,60,22,85
154042,42,15,86
154043,28,9,83
154047,120,42,109
154052,54,28,113
154055,66,22,79
154056,108,42,118
154057,132,42,104
154058,108,42,118
154076,132,42,104
154077,108,33,80
154078,84,37,103
154079,132,42,104
154080,120,35,82
154081,108,39,97
154959,78,34,98
201001,66,30,100
201002,54,24,97
201003,66,31,106
201004,66,32,111
201007,72,31,96
201008,72,39,138
201009,78,36,109
201010,78,39,128
201011,66,19,71
201012,72,39,138
201013,66,32,111
201014,72,32,99
201015,66,33,116
201016,78,21,62
201017,60,30,112
201018,60,36,141
201019,60,36,141
201020,54,27,109
201021,60,29,107
201022,72,35,115
201024,78,23,68
201028,72,21,69
201029,60,22,85
201039,66,32,111
201040,66,29,98
201044,66,26,89
201045,72,34,110
201051,66,30,100
201052,42,17,91
201053,66,22,79
201055,66,25,87
201056,60,28,102
202001,132,42,104
202002,108,41,109
202003,48,17,85
202004,108,42,118
202005,66,34,121
202006,54,27,109
202008,96,42,127
202009,42,25,117
202012,132,40,95
202014,42,18,93
202015,78,36,109
202017,120,42,109
202018,48,17,85
202021,54,23,95
202022,28,15,97
202024,24,17,105
202026,48,25,109
202027,78,38,121
202028,42,20,98
202029,60,34,132
202031,60,31,117
202032,42,24,113
202035,28,14,95
202037,42,30,137
202038,42,35,157
202039,78,37,115
202042,42,21,101
202043,32,21,113
202044,36,20,104
202047,48,24,105
202048,96,41,119
202049,42,28,129
202050,96,40,112
202051,96,38,99
202052,78,42,146
202055,32,25,128
202056,54,28,113
202058,48,21,95
202060,48,18,88
202061,48,21,95
202062,42,22,105
202066,42,21,101
202067,54,32,131
202068,28,18,107
202071,54,24,97
202073,72,34,110
202076,120,42,109
202077,96,30,76
202081,24,14,97
202082,108,41,109
202083,132,41,98
202085,132,41,98
202087,42,19,96
202088,48,31,135
202089,78,29,85
202090,72,31,96
202091,96,38,99
202092,42,20,98
202093,60,23,88
202094,120,41,100
202095,28,12,90
202096,96,38,99
202097,84,31,84
202098,108,38,94
202099,132,41,98
202101,48,24,105
202103,66,29,98
202105,24,15,99
202106,60,31,117
202107,132,37,86
202109,132,41,98
202110,132,33,73
206001,42,18,93
206005,84,30,81
206007,84,38,109
206008,84,23,61
206009,84,34,93
206010,84,40,123
206011,84,39,116
206013,84,37,103
206016,96,21,50
206017,84,30,81
206020,78,38,121
206024,84,39,116
207001,72,36,121
207004,96,39,104
207007,84,30,81
207009,120,42,109
207010,48,25,109
207013,24,20,115
207015,24,13,95
207017,120,41,100
207018,96,38,99
207021,60,30,112
207024,84,32,87
208001,54,23,95
208002,54,21,89
208003,54,25,100
208004,48,13,75
208005,48,24,105
208006,66,29,98
208007,60,23,88
208008,54,27,109
211002,60,27,99
211003,120,42,109
211004,132,41,98
211005,108,39,97
211006,54,22,92
211007,42,18,93
211008,132,42,104
211009,78,38,121
211012,24,14,97
211014,28,22,120
211020,108,37,91
215001,84,30,81
215002,48,26,113
215004,84,37,103
215005,120,41,100
216001,84,41,130
216009,84,40,123
216013,132,39,92
216016,96,35,90
216017,84,36,98
218003,66,32,111
218004,36,20,104
218007,24,22,121
218009,72,32,99
219001,78,39,128
219002,108,41,109
219003,54,31,127
219004,84,37,103
219005,84,40,123
219006,96,41,119
219007,72,29,91
219008,120,42,109
219009,96,42,127
219010,66,26,89
220001,108,40,101
220002,78,39,128
220003,42,22,105
220004,24,13,95
220005,132,42,104
220007,54,27,109
220008,108,41,109
220009,84,40,123
220011,66,30,100
220012,60,25,93
220013,66,26,89
220014,60,32,122
220015,60,31,117
220016,48,20,93
220017,66,31,106
220018,78,39,128
220020,78,28,82
220021,24,20,115
220022,24,15,99
220023,54,26,104
220028,96,42,127
220030,132,41,98
220031,132,42,104
220032,120,41,100
220034,132,41,98
220036,120,42,109
221001,36,19,101
221004,28,19,110
221005,72,39,138
221006,72,34,110
221007,32,14,92
221008,72,39,138
221009,72,34,110
221012,72,38,132
223001,42,22,105
223002,24,15,99
223004,72,34,110
223005,96,42,127
223006,36,21,108
223007,24,17,105
223008,96,33,84
223009,108,39,97
223010,28,20,113
224001,96,41,119
224002,78,37,115
224003,66,30,100
224004,32,15,95
224005,96,40,112
224006,72,37,127
224007,48,24,105
224008,28,13,93
224009,72,34,110
224010,96,39,104
224011,36,17,96
224012,36,17,96
224013,60,24,91
224014,60,28,102
224015,48,23,101
224016,42,21,101
224017,60,29,107
224018,48,22,98
224019,72,28,88
224020,66,34,121
227002,32,17,99
227003,66,35,127
227007,28,15,97
227010,28,19,110
227012,28,13,93
227014,24,16,102
227018,32,14,92
302001,96,42,127
302002,108,41,109
302005,78,38,121
302006,84,41,130
302007,120,42,109
302008,96,42,127
302009,78,39,128
302010,204,41,98
302011,132,42,104
501001,60,23,88
501002,48,25,109
501003,84,27,73
501006,48,21,95
501009,132,42,104
501021,72,31,96
501029,60,32,122
501032,48,26,113
503001,66,14,57
505005,60,18,75
505015,156,42,103
505016,66,23,81
505021,132,40,95
505024,42,22,105
505035,48,16,83
505036,54,13,69
505037,54,16,76
505038,42,10,73
505039,42,8,68
505040,60,17,72
506001,54,6,51
506003,78,10,40
506004,96,23,55
506005,72,21,69
506008,120,37,88
506009,84,28,76
506011,42,15,86
506014,54,19,84
506015,78,18,54
506016,42,10,73
506022,78,25,73
507005,54,20,87
508001,60,15,67
508002,60,15,67
508005,156,39,91
508007,204,42,103
508008,42,24,113
508009,72,24,77
508010,72,15,53
508011,66,25,87
508013,54,17,79
508014,120,35,82
508015,42,9,71
508016,108,34,82
508017,156,42,103
508019,36,8,73
508021,36,10,78
508022,42,12,78
508023,84,26,70
508024,84,24,64
508025,84,23,61
508026,120,39,94
508027,54,17,79
508028,96,20,47
508029,156,37,85
508030,132,23,43
508031,60,15,67
508032,54,12,66
508033,48,10,67
508034,84,40,123
510001,96,38,99
510004,72,19,64
510005,108,28,65
510007,132,34,76
510008,120,32,73
510009,156,35,79
510010,132,31,67
510014,132,35,80
510016,156,33,73
517001,78,25,73
517003,54,2,40
517004,108,39,97
517005,132,30,64
517007,156,42,103
517009,120,36,85
517010,156,42,103
517011,84,27,73
517012,96,27,67
517013,60,22,85
517017,84,24,64
517018,42,12,78
517020,78,36,109
517021,120,42,109
517022,156,42,103
517023,66,35,127
517024,156,36,82
517026,96,39,104
517028,66,19,71
526003,48,10,67
527002,132,24,46
527004,108,31,74
527005,24,7,80
529001,72,32,99
529008,96,41,119
529015,96,36,93
529018,204,41,98
529020,204,42,103
529021,204,42,103
529022,132,40,95
529023,132,41,98
529024,204,42,103
529025,72,33,104
529026,66,26,89
529029,66,17,65
600001,132,30,64
600003,156,38,88
600006,96,28,70
600007,120,40,97
600008,120,35,82
600009,108,34,82
600010,108,31,74
601002,156,41,98
601007,156,41,98
601011,204,40,94
602001,120,37,88
602002,60,23,88
602003,66,23,81
602004,66,29,98
602005,84,28,76
602006,78,24,71
602007,72,20,66
602008,78,24,71
605002,96,16,40
605003,96,22,52
607004,78,40,134
608001,42,23,109
608002,54,22,92
608003,60,29,107
608004,78,34,98
608005,36,20,104
608006,28,10,86
608007,60,29,107
608008,132,40,95
608009,42,22,105
608010,42,16,88
608011,66,23,81
608012,78,22,65
608013,32,9,80
608014,66,30,100
609003,54,17,79
612001,60,32,122
612002,54,24,97
612003,36,14,88
612004,24,13,95
612005,28,13,93
612006,28,18,107
612007,120,21,40
612008,108,28,65
612009,24,7,80
612010,28,7,78
612012,96,33,84
612013,108,35,85
612014,120,39,94
612017,84,32,87
701004,132,29,61
705002,78,17,51
