ID,agestrat,COMscore,COM_SS
151038,108,32,106
151039,120,34,118
151040,132,34,114
151041,36,28,143
151042,84,28,93
151043,84,29,97
151044,84,30,101
151045,36,19,88
151046,96,33,120
151047,96,30,98
151048,120,34,118
151049,96,34,128
151050,24,16,91
151051,108,32,106
151052,84,31,109
151053,84,30,101
151054,108,32,106
151055,120,34,118
151056,96,25,78
151057,84,29,97
151058,84,29,97
151059,84,30,101
151060,96,31,103
154001,204,34,100
154002,32,22,110
154003,10,10,114
154004,204,34,100
154005,84,30,101
154006,10,9,108
154007,204,34,100
154008,204,34,100
154009,42,21,91
154010,120,34,118
154011,204,34,100
154012,204,34,100
154013,204,33,99
154014,204,34,100
154015,204,34,100
154016,204,34,100
154017,132,32,98
154018,120,30,93
154019,204,34,100
154020,204,34,100
154021,132,34,114
154022,132,34,114
154023,204,34,100
154024,84,32,117
154025,132,31,95
154026,204,34,100
154027,204,34,100
154028,108,31,99
154029,108,34,123
154030,132,31,95
154031,36,22,101
154032,12,10,105
154033,8,2,79
154035,20,10,75
154036,60,24,91
154037,72,23,80
154038,84,23,74
154039,132,31,95
154040,84,32,117
154041,66,28,106
154042,42,22,96
154043,28,16,85
154044,132,32,98
154045,132,32,98
154046,108,32,106
154047,120,32,101
154048,132,33,105
154049,78,30,107
154050,60,27,105
154051,6,3,92
154052,54,30,135
154054,8,2,79
154055,66,22,79
154056,108,32,106
154057,132,32,98
154058,120,32,101
154059,78,27,92
154060,120,32,101
154061,72,27,95
154062,14,11,102
154063,84,29,97
154064,48,26,113
154065,0,0,95
154066,0,0,95
154067,84,29,97
154068,132,32,98
154069,132,30,89
154070,132,29,83
154071,132,32,98
154072,78,29,100
154073,48,26,113
154074,28,22,118
154075,18,10,82
154076,132,34,114
154077,108,28,84
154078,84,29,97
154079,132,32,98
154080,120,31,97
154081,108,29,89
201003,66,29,113
201004,66,25,91
201005,60,24,91
201006,60,25,95
201007,72,26,91
201008,72,29,106
201009,72,31,122
201010,72,31,122
201011,66,28,106
201012,72,30,114
201013,66,29,113
201014,72,31,122
201015,66,31,128
201016,78,28,96
201020,54,27,113
201022,66,26,95
201030,72,32,129
201031,72,29,106
201033,66,28,106
201034,60,28,113
201040,66,28,106
201041,60,29,120
201043,54,29,128
201047,66,27,99
201050,72,30,114
201052,42,24,107
201053,66,31,128
201054,66,27,99
201056,54,29,128
202001,132,31,95
202002,108,32,106
202003,48,22,91
202004,108,34,123
202005,66,31,128
202006,54,27,113
202007,4,4,107
202008,96,32,111
202009,42,26,121
202010,4,4,107
202011,8,11,129
202012,132,32,98
202013,22,17,103
202014,42,18,79
202015,78,28,96
202016,10,8,102
202017,120,33,110
202018,48,18,74
202019,8,6,100
202020,6,5,103
202021,54,24,95
202022,28,17,90
202023,8,3,84
202024,24,22,127
202025,4,5,113
202026,42,25,114
202027,78,29,100
202028,42,25,114
202029,60,28,113
202030,2,2,105
202031,60,30,128
202032,42,26,121
202033,4,3,101
202034,6,4,98
202035,28,18,94
202036,20,15,99
202037,42,27,128
202038,42,28,135
202039,78,31,115
202040,6,3,92
202041,18,14,102
202042,42,27,128
202043,32,24,123
202044,36,27,136
202045,20,21,137
202046,16,12,99
202047,48,27,120
202048,96,31,103
202049,42,23,100
202050,96,34,128
202051,96,32,111
202052,78,31,115
202053,2,1,97
202054,6,3,92
202055,32,26,137
202056,54,27,113
202057,18,16,114
202058,48,26,113
202059,18,12,92
202060,48,24,99
202061,48,25,106
202062,42,23,100
202063,20,11,80
202064,0,1,102
202065,14,8,86
202066,42,24,107
202067,54,29,128
202068,28,10,58
202069,24,16,91
202070,6,9,127
202071,54,26,105
202072,8,12,135
202073,72,30,114
202074,18,15,108
202075,8,8,112
202076,120,33,110
202077,96,29,94
202078,12,4,73
202079,24,5,41
202080,36,15,70
202081,24,4,40
202082,108,28,84
202083,132,30,89
202085,132,28,80
202086,12,5,79
202087,42,19,83
202088,48,20,83
202089,78,28,96
202090,72,29,106
202091,96,32,111
202092,42,24,107
202093,60,24,91
202094,120,30,93
202095,28,12,67
202096,96,27,86
202097,84,26,85
202098,108,31,99
202099,132,34,114
202100,0,1,102
202101,48,25,106
202102,0,1,102
202103,66,33,144
202104,16,9,84
202105,24,18,100
202106,60,28,113
202107,132,34,114
202108,8,4,89
202109,132,34,114
202110,132,34,114
206001,42,16,70
206002,66,23,83
206003,78,27,92
206004,22,15,93
206005,84,30,101
206006,84,28,93
206008,84,31,109
206010,84,29,97
206015,72,30,114
206017,84,32,117
206019,78,30,107
206020,78,29,100
206024,84,23,74
207001,72,27,95
207002,60,25,95
207003,10,8,102
207004,96,31,103
207005,8,3,84
207006,20,13,90
207007,84,27,89
207008,10,10,114
207009,120,32,101
207010,48,26,113
207011,20,14,94
207012,48,20,83
207013,24,22,127
207014,8,2,79
207015,24,23,133
207016,12,12,117
207017,120,29,86
207018,96,31,103
207019,6,3,92
207020,32,20,97
207021,60,27,105
207022,8,6,100
207023,36,21,96
207024,84,27,89
207025,18,13,96
208001,54,11,41
208002,48,27,120
208003,54,31,142
208004,48,19,78
208005,48,25,106
208006,66,31,128
208007,60,24,91
208008,54,25,99
208009,54,29,128
208117,66,31,128
208118,66,26,95
211002,60,24,91
211003,120,33,110
211004,132,34,114
211005,108,33,114
211006,54,21,82
211007,42,19,83
211008,132,33,105
211009,84,29,97
211012,24,18,100
211014,28,24,132
211015,16,15,117
211016,78,31,115
211017,60,28,113
211018,28,22,118
211020,108,32,106
211021,72,28,99
211022,156,31,93
211023,108,29,89
211024,66,29,113
213001,32,23,117
213002,54,25,99
213003,72,16,52
215001,84,31,109
215002,48,28,128
215003,18,15,108
215004,84,30,101
215005,120,32,101
215006,2,3,111
215007,24,11,68
215008,4,1,90
215009,18,15,108
215010,24,21,120
216001,84,32,117
216002,132,32,98
216003,132,33,105
216004,48,27,120
216005,96,31,103
216006,66,26,95
216007,36,26,129
216008,108,32,106
216009,84,31,109
216011,132,34,114
216012,120,32,101
216013,132,32,98
216014,8,8,112
216015,42,19,83
216016,96,32,111
216017,84,30,101
216018,48,26,113
216019,18,16,114
218001,16,11,94
218003,60,28,113
218004,48,28,128
218005,84,29,97
218006,4,4,107
218007,24,22,127
218008,6,3,92
218009,72,29,106
218010,20,14,94
218011,10,6,92
218012,24,18,100
218013,8,8,112
218014,8,8,112
218015,18,16,114
218016,6,6,109
218017,12,9,99
218018,14,12,108
218019,20,13,90
218020,4,3,101
218021,12,9,99
218022,4,3,101
218023,6,1,82
218024,6,1,82
218025,4,2,96
218026,18,14,102
218027,4,2,96
218028,18,16,114
218030,10,7,97
218031,10,9,108
218032,18,11,87
218033,4,2,96
218034,16,12,99
218035,16,12,99
218036,12,11,111
218037,12,11,111
219001,78,29,100
219002,108,31,99
219003,60,26,99
219004,84,28,93
219005,84,27,89
219006,96,30,98
219007,72,34,145
219008,120,34,118
219009,96,30,98
219010,66,29,113
220001,108,31,99
220002,78,31,115
220003,42,27,128
220004,24,20,113
220005,132,32,98
220006,22,14,88
220007,54,24,95
220008,108,34,123
220009,84,25,81
220010,66,25,91
220011,66,27,99
220012,60,26,99
220013,66,29,113
220015,60,24,91
220016,48,28,128
220017,66,30,121
220018,78,31,115
220019,96,30,98
220020,78,29,100
220021,24,18,100
220022,24,17,96
220023,54,28,120
220024,78,32,123
220025,108,32,106
220026,4,2,96
220027,6,4,98
220028,96,32,111
220029,14,7,81
220030,132,32,98
220031,132,29,83
220032,120,31,97
220033,48,29,135
220034,132,31,95
220035,132,33,105
220036,120,32,101
220037,72,30,114
220038,20,17,112
220039,12,17,147
220040,28,23,125
220041,32,21,103
220042,8,6,100
220043,28,19,99
220044,72,30,114
221001,36,22,101
221002,18,9,77
221003,18,12,92
221004,28,22,118
221005,72,31,122
221006,72,27,95
221007,32,18,89
221008,72,31,122
221009,72,26,91
221010,12,13,123
221011,22,19,116
221012,66,27,99
221013,12,10,105
221014,4,3,101
221015,2,3,111
223001,42,23,100
223002,24,19,107
223003,6,2,87
223004,72,30,114
223005,96,32,111
223006,36,25,122
223007,24,17,96
223008,96,29,94
223009,108,30,95
223010,28,14,76
224001,96,30,98
224002,78,30,107
224003,66,28,106
224004,32,20,97
224005,96,31,103
224006,72,30,114
224007,48,28,128
224008,28,21,111
224009,72,30,114
224010,96,31,103
224011,36,26,129
224012,36,24,115
224013,60,25,95
224014,60,24,91
224015,48,24,99
224016,42,21,91
224017,60,22,83
224018,48,20,83
224019,72,27,95
224020,66,28,106
224021,14,11,102
227001,4,1,90
227002,32,20,97
227003,66,27,99
227004,4,1,90
227005,6,5,103
227006,18,18,127
227007,28,17,90
227008,0,0,95
227009,20,17,112
227010,28,18,94
227011,6,3,92
227012,28,18,94
227013,16,15,117
227014,24,15,86
227015,4,1,90
227016,6,8,121
227017,22,19,116
227018,32,19,93
227019,0,0,95
227020,18,15,108
227021,10,11,120
227022,12,12,117
228001,8,6,100
228003,28,24,132
228004,24,20,113
228005,12,11,111
229001,10,8,102
229002,12,9,99
229003,14,8,86
229004,6,2,87
229005,12,10,105
229006,18,17,121
229007,0,0,95
229008,8,4,89
302001,96,34,128
302002,108,34,123
302004,22,13,83
302005,78,34,139
302006,84,34,133
302007,120,34,118
302008,96,29,94
302009,78,30,107
302010,204,34,100
302011,132,33,105
501001,60,21,79
501002,48,17,70
501003,84,30,101
501005,60,22,83
501006,48,20,83
501008,48,19,78
501009,132,34,114
501010,48,22,91
501011,72,20,68
501013,72,29,106
501014,72,29,106
501018,108,32,106
501019,72,24,83
501020,60,24,91
501021,72,26,91
501022,32,9,49
501023,60,27,105
501025,78,28,96
501026,120,32,101
501027,108,31,99
501029,60,20,74
501031,108,25,74
501032,48,24,99
503001,66,25,91
503007,66,15,51
505001,28,10,58
505002,28,12,67
505003,36,7,40
505004,24,13,77
505005,60,19,70
505008,42,19,83
505013,48,20,83
505015,156,31,93
505016,66,20,71
505021,132,27,76
505023,36,7,40
505024,42,23,100
505025,36,3,40
505030,32,10,53
505032,132,31,95
505033,132,21,56
505035,48,20,83
505036,54,17,66
505037,54,17,66
505038,42,15,66
505039,42,8,40
505040,60,19,70
506001,54,7,40
506003,78,25,84
506004,96,28,90
506005,72,27,95
506008,120,33,110
506009,84,24,78
506011,36,18,83
506014,54,21,82
506015,72,16,52
506016,42,16,70
506022,78,25,84
507002,66,25,91
507005,54,22,87
507006,66,24,87
508001,60,23,87
508002,60,22,83
508005,156,32,97
508007,204,33,99
508008,42,22,96
508009,72,21,72
508010,72,17,56
508011,66,19,67
508013,54,17,66
508014,120,23,64
508015,42,12,53
508016,108,24,70
508017,156,33,101
508019,36,14,66
508021,36,12,57
508022,42,13,57
508023,84,23,74
508024,84,25,81
508025,84,23,74
508026,120,30,93
508027,54,15,58
508028,84,25,81
508029,156,29,80
508030,132,23,62
508031,60,15,54
508032,54,15,58
508033,42,13,57
508034,84,22,70
510001,96,22,66
510004,72,19,64
510005,108,27,81
510007,132,31,95
510008,120,29,86
510009,156,32,97
510010,132,23,62
510014,132,29,83
510016,156,30,87
517001,78,24,80
517003,54,6,40
517004,108,32,106
517005,132,28,80
517007,156,33,101
517009,120,25,72
517010,156,33,101
517011,84,26,85
517012,96,28,90
517013,60,21,79
517017,84,26,85
517018,42,20,87
517020,78,27,92
517021,120,31,97
517022,156,34,110
517023,66,29,113
517024,156,30,87
517026,84,28,93
517028,66,22,79
526003,48,20,83
526005,60,15,54
527001,36,10,49
527002,120,23,64
527004,108,22,63
527005,24,12,73
529001,72,25,87
529008,96,31,103
529015,96,31,103
529018,204,34,100
529020,204,34,100
529021,204,34,100
529022,132,34,114
529023,132,34,114
529024,204,34,100
529025,72,31,122
529026,66,31,128
529029,66,13,43
600001,132,21,56
600003,156,26,71
600006,96,22,66
600007,120,24,68
600008,120,25,72
600009,108,23,66
600010,108,22,63
601002,156,27,74
601007,156,26,71
601011,204,34,100
602001,120,32,101
602002,60,21,79
602003,66,26,95
602004,66,27,99
602005,84,26,85
602006,78,26,88
602007,72,24,83
602008,78,23,77
605002,96,23,69
605003,96,18,53
607004,78,26,88
607005,60,22,83
607006,156,18,46
608001,42,23,100
608002,48,22,91
608003,54,24,95
608004,78,26,88
608005,36,23,108
608006,28,10,58
608007,60,29,120
608008,132,26,73
608009,42,23,100
608010,42,21,91
608011,66,28,106
608012,78,28,96
608013,32,13,67
608014,66,29,113
609003,54,24,95
611007,78,29,100
612001,60,31,135
612002,54,28,120
612003,36,19,88
612004,24,19,107
612005,28,17,90
612006,28,22,118
612007,120,29,86
612008,108,30,95
612009,24,8,55
612010,28,9,54
612012,96,29,94
612013,108,29,89
612014,120,29,86
612017,78,26,88
701001,84,32,117
701004,132,23,62
705002,78,23,77
