ID,agestrat,SOCscore,SOC_SS
151037,96,35,118
151038,108,34,107
151039,120,35,107
151040,132,36,108
151041,36,26,133
151042,84,29,96
151043,84,30,99
151044,84,26,87
151045,36,12,71
151046,96,35,118
151047,96,34,113
151048,120,36,112
151049,96,31,99
151050,24,12,83
151051,108,29,91
151052,84,30,99
151053,84,32,108
151054,108,30,94
151055,120,31,94
151056,96,23,74
151057,84,30,99
151058,84,31,103
151059,84,30,99
151060,96,33,107
154001,204,33,94
154002,32,18,99
154003,10,7,99
154004,204,36,100
154005,84,33,114
154006,10,8,104
154007,204,36,100
154008,204,35,98
154009,42,22,104
154010,120,35,107
154011,204,36,100
154012,204,36,100
154013,204,36,100
154014,204,36,100
154015,204,36,100
154016,204,36,100
154017,132,34,99
154018,120,35,107
154019,204,36,100
154020,204,31,89
154021,132,35,102
154022,132,28,80
154023,204,36,100
154024,84,34,119
154025,132,35,102
154026,204,36,100
154027,204,36,100
154028,108,31,96
154029,108,30,94
154030,132,31,92
154031,36,16,87
154032,12,9,104
154033,8,4,81
154035,20,11,92
154036,60,15,65
154037,72,25,92
154038,84,30,99
154039,132,31,92
154040,84,29,96
154041,66,28,107
154042,42,19,93
154043,28,11,74
154044,132,35,102
154045,132,34,99
154046,108,27,83
154047,120,34,102
154048,132,32,94
154049,78,28,97
154050,60,28,114
154051,6,3,82
154052,54,29,127
154054,8,5,87
154055,66,22,81
154056,108,35,112
154057,132,36,108
154058,120,34,102
154059,78,27,94
154060,120,30,90
154061,72,26,95
154062,14,12,115
154063,84,30,99
154064,48,23,102
154065,0,2,94
154066,0,1,86
154067,84,29,96
154068,132,33,96
154069,132,32,94
154070,132,29,82
154071,132,35,102
154072,78,31,109
154073,48,22,98
154074,28,17,100
154075,18,9,83
154076,132,33,96
154077,108,30,94
154078,84,30,99
154079,132,31,92
154080,120,32,96
154081,108,33,102
201003,66,31,123
201004,66,30,118
201005,60,27,109
201006,60,28,114
201007,72,32,121
201008,72,29,105
201009,72,32,121
201010,72,32,121
201011,66,30,118
201012,72,33,127
201013,66,30,118
201014,72,33,127
201015,66,32,128
201016,78,31,109
201020,54,26,111
201022,66,26,98
201030,72,36,143
201031,72,33,127
201033,66,27,102
201034,60,33,141
201040,66,33,134
201041,60,34,146
201043,54,27,116
201047,66,33,134
201050,72,31,116
201052,42,17,84
201053,66,28,107
201054,66,31,123
201056,54,36,160
202001,132,34,99
202002,108,33,102
202003,48,19,89
202004,108,32,98
202005,66,36,150
202006,54,32,143
202007,4,7,113
202008,96,31,99
202009,42,25,120
202010,4,7,113
202011,8,10,120
202012,132,31,92
202013,22,15,104
202014,42,7,51
202015,78,27,94
202016,10,10,115
202017,120,27,77
202018,48,14,70
202019,8,5,87
202020,6,8,114
202021,54,30,132
202022,28,13,82
202023,8,4,81
202024,24,21,129
202025,4,9,124
202026,42,28,136
202027,78,31,109
202028,42,25,120
202029,60,20,79
202030,2,2,89
202031,60,31,130
202032,42,25,120
202033,4,5,102
202034,6,6,103
202035,28,16,96
202036,20,14,106
202037,42,33,160
202038,42,30,147
202039,78,36,136
202040,6,8,114
202041,18,15,118
202042,42,28,136
202043,32,27,146
202044,36,22,112
202045,20,14,106
202046,16,12,108
202047,48,26,118
202048,96,35,118
202049,42,33,160
202050,96,31,99
202051,96,34,113
202052,78,34,125
202053,2,5,106
202054,6,9,120
202055,32,25,135
202056,54,26,111
202057,18,14,112
202058,48,22,98
202059,18,10,92
202060,48,19,89
202061,48,20,92
202062,42,28,136
202063,20,13,100
202064,0,1,86
202065,14,12,115
202066,42,20,96
202067,54,31,138
202068,28,18,105
202069,24,17,107
202070,6,8,114
202071,54,32,143
202072,8,9,115
202073,72,31,116
202074,18,13,107
202075,8,11,126
202076,120,33,98
202077,96,17,61
202078,12,7,88
202079,24,10,74
202080,36,13,74
202081,24,6,59
202082,108,29,91
202083,132,30,88
202085,132,28,80
202086,12,7,88
202087,42,11,64
202088,48,17,80
202089,78,22,79
202090,72,29,105
202091,96,34,113
202092,42,26,126
202093,60,20,79
202094,120,33,98
202095,28,11,74
202096,96,31,99
202097,84,31,103
202098,108,35,112
202099,132,34,99
202100,0,1,86
202101,48,29,134
202102,0,3,100
202103,66,33,134
202104,16,10,98
202105,24,12,83
202106,60,27,109
202107,132,35,102
202108,8,5,87
202109,132,36,108
202110,132,35,102
206001,42,10,61
206002,66,28,107
206003,78,22,79
206004,22,8,69
206005,84,32,108
206006,84,21,72
206008,84,27,91
206010,84,33,114
206015,72,25,92
206017,84,34,119
206019,78,31,109
206020,78,33,120
206024,84,29,96
207001,72,30,111
207002,60,27,109
207003,10,9,110
207004,96,35,118
207005,8,4,81
207006,20,12,96
207007,84,23,77
207008,10,8,104
207009,120,29,84
207010,48,17,80
207011,20,14,106
207012,48,21,95
207013,24,17,107
207014,8,7,104
207015,24,17,107
207016,12,11,115
207017,120,30,90
207018,96,35,118
207019,6,7,109
207020,32,17,95
207021,60,26,103
207022,8,8,110
207023,36,17,91
207024,84,32,108
207025,18,9,83
208001,54,18,79
208002,48,26,118
208003,54,35,159
208004,48,23,102
208005,48,32,150
208006,66,36,150
208007,60,29,119
208008,54,33,148
208009,54,28,121
208117,66,36,150
208118,66,27,102
211002,60,31,130
211003,120,35,107
211004,132,35,102
211005,108,36,118
211006,54,23,97
211007,42,20,96
211008,132,32,94
211009,84,26,87
211012,24,13,90
211014,28,23,132
211015,16,15,124
211016,78,36,136
211017,60,29,119
211018,28,19,111
211020,108,36,118
211021,72,36,143
211022,156,33,95
211023,108,33,102
211024,66,33,134
213001,32,25,135
213002,54,19,82
213003,72,25,92
215001,84,33,114
215002,48,28,129
215003,18,11,97
215004,84,31,103
215005,120,34,102
215006,2,6,111
215007,24,16,102
215008,4,2,81
215009,18,13,107
215010,24,15,98
216001,84,34,119
216002,132,34,99
216003,132,34,99
216004,48,23,102
216005,96,33,107
216006,66,28,107
216007,36,17,91
216008,108,33,102
216009,84,33,114
216011,132,35,102
216012,120,29,84
216013,132,30,88
216014,8,6,96
216015,42,19,93
216016,96,32,102
216017,84,32,108
216018,48,27,124
216019,18,16,123
218001,16,12,108
218003,60,31,130
218004,48,23,102
218005,84,34,119
218006,4,6,108
218007,24,16,102
218008,6,3,82
218009,72,31,116
218010,20,17,122
218011,10,9,110
218012,24,17,107
218013,8,11,126
218014,8,8,110
218015,18,19,139
218016,6,9,120
218017,12,14,131
218018,14,13,120
218019,20,13,100
218020,4,0,65
218021,12,9,104
218022,4,4,96
218023,6,6,103
218024,6,6,103
218025,4,4,96
218026,18,12,102
218027,4,5,102
218028,18,14,112
218030,10,8,104
218031,10,10,115
218032,18,16,123
218033,4,5,102
218034,16,11,103
218035,16,11,103
218036,12,13,126
218037,12,13,126
219001,78,24,83
219002,108,30,94
219003,60,25,99
219004,84,30,99
219005,84,32,108
219006,96,31,99
219007,72,36,143
219008,120,36,112
219009,96,33,107
219010,66,33,134
220001,108,35,112
220002,78,34,125
220003,42,19,93
220004,24,12,83
220005,132,32,94
220006,22,9,74
220007,54,24,100
220008,108,34,107
220009,84,18,66
220010,66,21,79
220011,66,29,112
220012,60,21,81
220013,66,28,107
220015,60,25,99
220016,48,26,118
220017,66,30,118
220018,78,31,109
220019,96,34,113
220020,78,32,115
220021,24,13,90
220022,24,11,78
220023,54,30,132
220024,78,36,136
220025,108,36,118
220026,4,4,96
220027,6,7,109
220028,96,28,91
220029,14,9,98
220030,132,31,92
220031,132,34,99
220032,120,33,98
220033,48,22,98
220034,132,27,76
220035,132,36,108
220036,120,36,112
220037,72,35,138
220038,20,19,132
220039,12,12,120
220040,28,27,154
220041,32,12,73
220042,8,4,81
220043,28,10,71
220044,72,27,97
221001,36,13,74
221002,18,6,65
221003,18,12,102
221004,28,15,93
221005,72,31,116
221006,72,27,97
221007,32,20,109
221008,72,33,127
221009,72,31,116
221010,12,12,120
221011,22,14,99
221012,66,24,90
221013,12,10,110
221014,4,6,108
221015,2,4,102
223001,42,16,80
223002,24,11,78
223003,6,3,82
223004,72,29,105
223005,96,34,113
223006,36,29,149
223007,24,15,98
223008,96,24,76
223009,108,33,102
223010,28,9,67
224001,96,35,118
224002,78,33,120
224003,66,28,107
224004,32,18,99
224005,96,35,118
224006,72,34,132
224007,48,24,107
224008,28,24,138
224009,72,32,121
224010,96,35,118
224011,36,20,101
224012,36,18,94
224013,60,31,130
224014,60,28,114
224015,48,23,102
224016,42,20,96
224017,60,26,103
224018,48,15,73
224019,72,29,105
224020,66,31,123
224021,14,9,98
227001,4,2,81
227002,32,13,77
227003,66,23,85
227004,4,3,88
227005,6,6,103
227006,18,12,102
227007,28,15,93
227008,0,2,94
227009,20,13,100
227010,28,12,78
227011,6,5,96
227012,28,15,93
227013,16,11,103
227014,24,15,98
227015,4,1,73
227016,6,8,114
227017,22,16,109
227018,32,12,73
227019,0,1,86
227020,18,14,112
227021,10,12,126
227022,12,13,126
228001,8,5,87
228003,28,20,116
228004,24,13,90
228005,12,12,120
229001,10,9,110
229002,12,12,120
229003,14,12,115
229004,6,5,96
229005,12,12,120
229006,18,13,107
229007,0,1,86
229008,8,10,120
302001,96,36,124
302002,108,36,118
302004,22,14,99
302005,78,30,104
302006,84,35,124
302007,120,32,96
302008,96,28,91
302009,78,26,92
302010,204,36,100
302011,132,35,102
501001,60,18,74
501002,48,15,73
501003,84,23,77
501005,60,13,61
501006,48,13,67
501008,48,10,58
501009,132,34,99
501010,48,16,77
501011,72,13,57
501013,72,17,68
501014,72,27,97
501018,108,34,107
501019,72,17,68
501020,60,25,99
501021,72,26,95
501022,32,11,70
501023,60,24,96
501025,78,28,97
501026,120,29,84
501027,108,28,87
501029,60,8,47
501031,108,19,62
501032,48,22,98
503001,66,28,107
503007,66,14,60
505001,28,11,74
505002,28,12,78
505003,36,7,54
505004,24,14,94
505005,60,14,63
505008,42,19,93
505013,48,22,98
505015,156,24,68
505016,66,25,95
505021,132,25,71
505023,36,12,71
505024,42,20,96
505025,36,4,44
505030,32,9,64
505032,132,28,80
505033,132,17,55
505035,48,22,98
505036,54,12,61
505037,54,8,49
505038,42,15,77
505039,42,13,70
505040,60,24,96
506001,54,13,64
506003,78,22,79
506004,96,31,99
506005,72,29,105
506008,120,33,98
506009,84,22,74
506011,36,16,87
506014,54,15,70
506015,72,11,52
506016,42,12,67
506022,78,13,55
507002,66,15,63
507005,54,20,84
507006,66,14,60
508001,60,15,65
508002,60,18,74
508005,156,32,93
508007,204,26,72
508008,42,13,70
508009,72,12,55
508010,72,12,55
508011,66,13,57
508013,54,12,61
508014,120,14,50
508015,42,7,51
508016,108,26,78
508017,156,29,81
508019,36,9,60
508021,36,11,67
508022,42,11,64
508023,84,17,64
508024,84,18,66
508025,84,17,64
508026,120,35,107
508027,54,13,64
508028,84,36,130
508029,156,34,97
508030,132,16,53
508031,60,13,61
508032,54,10,55
508033,42,8,54
508034,84,21,72
510001,96,19,65
510004,72,16,65
510005,108,28,87
510007,132,31,92
510008,120,32,96
510009,156,31,90
510010,132,23,67
510014,132,21,63
510016,156,34,97
517001,78,21,76
517003,54,3,40
517004,108,35,112
517005,132,32,94
517007,156,29,81
517009,120,32,96
517010,156,30,86
517011,84,28,94
517012,96,30,96
517013,60,23,91
517017,84,28,94
517018,42,19,93
517020,78,29,99
517021,120,32,96
517022,156,35,99
517023,66,25,95
517024,156,33,95
517026,84,25,83
517028,66,23,85
526003,48,21,95
526005,60,13,61
527001,36,13,74
527002,120,28,81
527004,108,22,68
527005,24,12,83
529001,72,8,44
529008,96,30,96
529015,96,30,96
529018,204,36,100
529020,204,36,100
529021,204,36,100
529022,132,35,102
529023,132,34,99
529024,204,36,100
529025,72,19,72
529026,66,18,70
529029,66,13,57
600001,132,30,88
600003,156,30,86
600006,96,20,67
600007,120,22,66
600008,120,24,70
600009,108,18,60
600010,108,16,56
601002,156,22,64
601007,156,20,60
601011,204,36,100
602001,120,20,62
602002,60,20,79
602003,66,15,63
602004,66,14,60
602005,84,12,51
602006,78,22,79
602007,72,15,63
602008,78,18,68
605002,96,18,63
605003,96,22,72
607004,78,16,63
607005,60,10,53
607006,156,16,52
608001,42,25,120
608002,48,17,80
608003,54,23,97
608004,78,24,83
608005,36,28,144
608006,28,11,74
608007,60,28,114
608008,132,23,67
608009,42,20,96
608010,42,25,120
608011,66,28,107
608012,78,22,79
608013,32,19,103
608014,66,27,102
609003,54,25,105
611007,78,27,94
612001,60,33,141
612002,54,27,116
612003,36,14,80
612004,24,15,98
612005,28,15,93
612006,28,17,100
612007,120,23,68
612008,108,29,91
612009,24,5,54
612010,28,12,78
612012,96,31,99
612013,108,27,83
612014,120,32,96
612017,78,20,73
701001,84,29,96
701004,132,17,55
705002,78,19,71
