ID,agestrat,PHYscore,PHY_SS
123078,120,37,107
123079,54,34,136
123080,96,36,107
125001,108,37,111
125002,48,26,92
125003,48,26,92
125004,54,27,91
125005,60,34,127
125006,54,25,83
125007,60,30,99
125008,60,33,120
125009,54,32,121
125010,60,31,105
125011,66,33,111
125012,60,27,86
125013,60,29,94
125014,60,28,90
125015,54,31,114
125016,66,33,111
125017,72,34,111
125018,54,27,91
125019,60,30,99
125020,84,36,113
125021,60,32,112
125022,60,33,120
125023,60,24,74
125024,60,33,120
125025,0,0,100
125026,28,23,108
125027,14,13,109
125028,72,34,111
125029,10,7,96
125030,18,15,100
125031,60,34,127
125032,78,34,104
125033,60,30,99
125034,72,33,103
125035,20,19,114
125036,14,10,93
125037,72,37,135
125038,22,18,98
125039,2,2,108
125040,32,24,104
125041,14,14,115
125043,10,6,91
125044,10,6,91
125045,28,18,83
125046,60,32,112
125047,60,30,99
125048,60,33,120
125049,14,19,146
125053,8,5,95
125055,24,21,106
125057,14,12,103
125058,4,2,98
125059,28,20,92
125060,28,24,115
125061,4,6,120
125062,2,2,108
126001,66,33,111
126002,132,37,103
126003,108,36,102
126004,84,35,105
126005,60,32,112
126006,108,37,111
126007,96,33,90
126008,54,31,114
126009,54,32,121
126010,72,35,119
126011,66,32,104
126012,72,35,119
126013,60,34,127
126014,66,32,104
126015,132,37,103
126016,54,32,121
126017,132,37,103
126018,72,35,119
126019,108,37,111
126020,24,19,95
127001,18,13,91
127002,132,37,103
127003,2,2,108
127004,78,37,128
127005,6,4,99
127006,36,32,149
127007,54,33,129
127008,14,18,140
127009,16,11,89
127010,12,8,92
127011,66,33,111
127012,20,18,108
127013,12,13,120
127014,42,32,140
127015,48,28,102
127016,66,35,127
127017,42,24,90
127018,4,2,98
127019,24,17,86
127020,32,22,94
127021,22,19,103
127022,84,36,113
127023,120,37,107
127024,54,31,114
127025,20,13,83
127026,6,4,99
127027,24,13,68
127028,42,28,111
127029,66,31,98
127030,10,7,96
127031,48,29,109
127032,42,29,119
127033,78,35,112
127034,132,37,103
127035,84,35,105
127036,10,8,101
127037,10,10,113
127038,24,20,99
127039,2,1,102
127040,14,15,122
127042,0,0,100
127141,6,6,110
128001,96,36,107
128002,132,36,96
128003,132,37,103
128004,96,37,116
128005,120,34,84
128006,132,37,103
128007,108,37,111
128008,72,35,119
128009,132,36,96
