ID,agestrat,COGscore,COG_SS
151038,108,41,115
151039,120,42,112
151040,132,42,104
151041,36,28,142
151042,84,36,103
151043,84,38,116
151044,84,39,122
151045,36,18,89
151046,96,38,106
151047,96,38,106
151048,120,42,112
151049,96,41,125
151050,24,16,103
151051,108,41,115
151052,84,36,103
151053,84,38,116
151054,108,40,109
151055,120,42,112
151056,96,27,67
151057,84,37,109
151058,84,39,122
151059,84,41,135
151060,96,42,131
154001,204,42,100
154002,32,20,106
154003,10,6,101
154004,204,40,93
154005,84,34,95
154006,10,13,140
154007,204,42,100
154008,204,41,97
154009,42,20,90
154010,120,39,97
154011,204,42,100
154012,204,42,100
154013,204,42,100
154014,204,42,100
154015,204,42,100
154016,204,42,100
154017,132,39,93
154018,120,41,106
154019,204,42,100
154020,204,42,100
154021,132,42,104
154022,132,38,91
154023,204,42,100
154024,84,40,128
154025,132,41,99
154026,204,42,100
154027,204,42,100
154028,108,41,115
154029,108,41,115
154030,132,37,88
154031,36,16,81
154032,12,7,101
154033,8,5,98
154035,20,11,95
154036,60,21,73
154037,72,24,71
154038,84,26,68
154039,132,42,104
154040,84,38,116
154041,66,33,117
154042,42,18,83
154043,28,17,99
154044,132,36,85
154045,132,42,104
154046,108,39,102
154047,120,42,112
154048,132,40,96
154049,78,33,98
154050,60,28,99
154051,6,5,104
154052,54,35,151
154054,8,5,98
154055,66,20,63
154056,108,42,121
154057,132,42,104
154058,120,41,106
154059,78,30,88
154060,120,41,106
154061,72,32,100
154062,14,5,75
154063,84,37,109
154064,48,24,98
154065,0,0,87
154066,0,2,103
154067,84,31,86
154068,132,42,104
154069,132,35,82
154070,132,36,85
154071,132,42,104
154072,78,32,94
154073,48,25,103
154074,28,16,95
154075,18,7,78
154076,132,41,99
154077,108,32,81
154078,84,30,83
154079,132,39,93
154080,120,35,86
154081,108,32,81
201003,66,35,129
201004,66,27,89
201005,60,24,85
201006,60,29,104
201007,72,27,84
201008,72,39,143
201009,72,34,112
201010,72,34,112
201011,66,26,86
201012,72,32,100
201013,66,33,117
201014,72,41,155
201015,66,33,117
201016,78,31,91
201020,54,25,95
201022,66,31,105
201030,72,39,143
201031,72,30,94
201033,66,32,111
201034,60,26,92
201040,66,34,123
201041,60,30,110
201043,54,28,109
201047,66,29,96
201050,72,39,143
201052,42,19,86
201053,66,23,73
201054,66,34,123
201056,54,30,121
202001,132,42,104
202002,108,40,109
202003,48,21,87
202004,108,36,92
202005,66,38,148
202006,54,27,103
202007,4,10,134
202008,96,42,131
202009,42,23,102
202010,4,5,107
202011,8,6,106
202012,132,40,96
202013,22,12,92
202014,42,18,83
202015,78,36,114
202016,10,7,107
202017,120,40,100
202018,48,18,76
202019,8,3,84
202020,6,5,104
202021,54,24,91
202022,28,12,79
202023,8,5,98
202024,24,21,132
202025,4,6,112
202026,42,25,114
202027,78,37,120
202028,42,24,108
202029,60,34,134
202030,2,4,106
202031,60,31,116
202032,42,25,114
202033,4,6,112
202034,6,5,104
202035,28,14,87
202036,20,14,111
202037,42,29,137
202038,42,29,137
202039,78,37,120
202040,6,4,99
202041,18,13,114
202042,42,27,126
202043,32,21,112
202044,36,21,101
202045,20,14,111
202046,16,12,116
202047,48,27,114
202048,96,40,118
202049,42,27,126
202050,96,38,106
202051,96,38,106
202052,78,39,132
202053,2,5,109
202054,6,5,104
202055,32,24,129
202056,54,28,109
202057,18,16,130
202058,48,25,103
202059,18,7,78
202060,48,20,83
202061,48,21,87
202062,42,21,94
202063,20,12,100
202064,0,1,96
202065,14,7,91
202066,42,18,83
202067,54,29,115
202068,28,18,105
202069,24,15,98
202070,6,6,110
202071,54,25,95
202072,8,7,112
202073,72,34,112
202074,18,10,97
202075,8,6,106
202076,120,42,112
202077,96,30,77
202078,12,5,84
202079,24,6,60
202080,36,11,62
202081,24,4,51
202082,108,38,98
202083,132,40,96
202085,132,41,99
202086,12,5,84
202087,42,14,68
202088,48,18,76
202089,78,35,108
202090,72,29,90
202091,96,39,112
202092,42,20,90
202093,60,23,80
202094,120,42,112
202095,28,11,75
202096,96,42,131
202097,84,35,99
202098,108,42,121
202099,132,42,104
202100,0,0,87
202101,48,26,109
202102,0,0,87
202103,66,40,160
202104,16,8,90
202105,24,15,98
202106,60,34,134
202107,132,42,104
202108,8,5,98
202109,132,41,99
202110,132,42,104
206001,42,15,71
206002,66,22,70
206003,78,30,88
206004,22,10,84
206005,84,35,99
206006,84,24,62
206008,84,33,92
206010,84,41,135
206015,72,36,125
206017,84,41,135
206019,78,37,120
206020,78,38,126
206024,84,37,109
207001,72,31,97
207002,60,25,89
207003,10,7,107
207004,96,41,125
207005,8,5,98
207006,20,13,105
207007,84,27,71
207008,10,9,118
207009,120,41,106
207010,48,26,109
207011,20,13,105
207012,48,19,80
207013,24,16,103
207014,8,5,98
207015,24,17,109
207016,12,9,112
207017,120,38,94
207018,96,39,112
207019,6,5,104
207020,32,19,100
207021,60,27,95
207022,8,6,106
207023,36,16,81
207024,84,32,89
207025,18,13,114
208001,54,16,61
208002,48,20,83
208003,54,39,160
208004,48,24,98
208005,48,23,94
208006,66,35,129
208007,60,23,80
208008,54,23,88
208009,54,29,115
208117,66,40,160
208118,66,26,86
211002,60,27,95
211003,120,40,100
211004,132,41,99
211005,108,41,115
211006,54,20,77
211007,42,17,79
211008,132,42,104
211009,84,38,116
211012,24,13,90
211014,28,21,122
211015,16,10,105
211016,78,38,126
211017,60,31,116
211018,28,18,105
211020,108,41,115
211021,72,27,84
211022,156,42,102
211023,108,42,121
211024,66,36,135
213001,32,18,96
213002,54,23,88
213003,72,15,43
215001,84,37,109
215002,48,28,120
215003,18,13,114
215004,84,37,109
215005,120,40,100
215006,2,4,106
215007,24,12,85
215008,4,1,81
215009,18,13,114
215010,24,20,126
216001,84,41,135
216002,132,42,104
216003,132,42,104
216004,48,25,103
216005,96,39,112
216006,66,28,93
216007,36,23,113
216008,108,41,115
216009,84,40,128
216011,132,42,104
216012,120,42,112
216013,132,42,104
216014,8,6,106
216015,42,17,79
216016,96,42,131
216017,84,38,116
216018,48,23,94
216019,18,16,130
218001,16,10,105
218003,60,31,116
218004,48,23,94
218005,84,36,103
218006,4,5,107
218007,24,23,144
218008,6,5,104
218009,72,26,78
218010,20,14,111
218011,10,5,91
218012,24,17,109
218013,8,8,117
218014,8,5,98
218015,18,17,136
218016,6,6,110
218017,12,8,107
218018,14,11,117
218019,20,13,105
218020,4,6,112
218021,12,8,107
218022,4,5,107
218023,6,5,104
218024,6,5,104
218025,4,4,102
218026,18,14,119
218027,4,4,102
218028,18,13,114
218030,10,5,91
218031,10,7,107
218032,18,16,130
218033,4,4,102
218034,16,9,99
218035,16,9,99
218036,12,10,118
218037,12,10,118
219001,78,35,108
219002,108,42,121
219003,60,33,128
219004,84,37,109
219005,84,39,122
219006,96,41,125
219007,72,42,160
219008,120,41,106
219009,96,39,112
219010,66,31,105
220001,108,42,121
220002,78,36,114
220003,42,25,114
220004,24,13,90
220005,132,42,104
220006,22,14,102
220007,54,24,91
220008,108,42,121
220009,84,20,50
220010,66,31,105
220011,66,30,99
220012,60,27,95
220013,66,31,105
220015,60,29,104
220016,48,23,94
220017,66,33,117
220018,78,39,132
220019,96,39,112
220020,78,34,101
220021,24,19,121
220022,24,13,90
220023,54,26,98
220024,78,39,132
220025,108,42,121
220026,4,4,102
220027,6,7,115
220028,96,41,125
220029,14,8,101
220030,132,41,99
220031,132,41,99
220032,120,40,100
220033,48,36,160
220034,132,41,99
220035,132,42,104
220036,120,42,112
220037,72,34,112
220038,20,13,105
220039,12,15,145
220040,28,20,116
220041,32,18,96
220042,8,5,98
220043,28,16,95
220044,72,33,106
221001,36,17,85
221002,18,7,78
221003,18,11,102
221004,28,18,105
221005,72,40,149
221006,72,30,94
221007,32,16,88
221008,72,34,112
221009,72,35,118
221010,12,12,129
221011,22,14,102
221012,66,30,99
221013,12,8,107
221014,4,5,107
221015,2,5,109
223001,42,21,94
223002,24,15,98
223003,6,5,104
223004,72,38,137
223005,96,41,125
223006,36,25,125
223007,24,16,103
223008,96,36,97
223009,108,40,109
223010,28,12,79
224001,96,40,118
224002,78,36,114
224003,66,29,96
224004,32,17,92
224005,96,41,125
224006,72,35,118
224007,48,29,126
224008,28,17,99
224009,72,32,100
224010,96,39,112
224011,36,22,107
224012,36,19,93
224013,60,28,99
224014,60,26,92
224015,48,23,94
224016,42,23,102
224017,60,22,76
224018,48,17,73
224019,72,31,97
224020,66,33,117
224021,14,8,101
227001,4,5,107
227002,32,15,84
227003,66,33,117
227004,4,1,81
227005,6,7,115
227006,18,12,108
227007,28,14,87
227008,0,2,103
227009,20,14,111
227010,28,15,91
227011,6,6,110
227012,28,15,91
227013,16,13,121
227014,24,15,98
227015,4,5,107
227016,6,7,115
227017,22,14,102
227018,32,14,80
227019,0,1,96
227020,18,13,114
227021,10,8,112
227022,12,9,112
228001,8,5,98
228003,28,23,134
228004,24,16,103
228005,12,10,118
229001,10,6,101
229002,12,8,107
229003,14,7,91
229004,6,5,104
229005,12,7,101
229006,18,13,114
229007,0,0,87
229008,8,6,106
302001,96,42,131
302002,108,42,121
302004,22,9,79
302005,78,42,151
302006,84,42,141
302007,120,42,112
302008,96,41,125
302009,78,38,126
302010,204,42,100
302011,132,42,104
501001,60,22,76
501002,48,21,87
501003,84,39,122
501005,60,20,70
501006,48,19,80
501008,48,15,65
501009,132,42,104
501010,48,21,87
501011,72,22,65
501013,72,35,118
501014,72,33,106
501018,108,42,121
501019,72,31,97
501020,60,30,110
501021,72,33,106
501022,32,12,72
501023,60,25,89
501025,78,29,85
501026,120,42,112
501027,108,42,121
501029,60,26,92
501031,108,30,72
501032,48,24,98
503001,66,21,66
503007,66,13,40
505001,28,7,58
505002,28,10,71
505003,36,9,55
505004,24,14,94
505005,60,17,59
505008,42,15,71
505013,48,16,69
505015,156,36,83
505016,66,22,70
505021,132,40,96
505023,36,8,51
505024,42,20,90
505025,36,4,40
505030,32,10,64
505032,132,42,104
505033,132,28,60
505035,48,20,83
505036,54,17,65
505037,54,11,44
505038,42,10,53
505039,42,9,49
505040,60,16,56
506001,54,6,40
506003,78,24,66
506004,96,35,94
506005,72,25,75
506008,120,38,94
506009,84,25,65
506011,36,13,70
506014,54,14,54
506015,72,10,40
506016,42,16,75
506022,78,20,54
507002,66,27,89
507005,54,29,115
507006,66,28,93
508001,60,21,73
508002,60,21,73
508005,156,42,102
508007,204,41,97
508008,42,25,114
508009,72,16,46
508010,72,12,40
508011,66,21,66
508013,54,13,51
508014,120,33,80
508015,42,8,45
508016,108,36,92
508017,156,40,95
508019,36,6,43
508021,36,10,58
508022,42,8,45
508023,84,24,62
508024,84,23,59
508025,84,22,56
508026,120,40,100
508027,54,13,51
508028,84,22,56
508029,156,40,95
508030,132,24,48
508031,60,12,41
508032,54,11,44
508033,42,9,49
508034,84,31,86
510001,96,32,85
510004,72,22,65
510005,108,25,57
510007,132,36,85
510008,120,36,88
510009,156,38,89
510010,132,26,54
510014,132,38,91
510016,156,39,91
517001,78,22,60
517003,54,6,40
517004,108,40,109
517005,132,31,71
517007,156,42,102
517009,120,36,88
517010,156,42,102
517011,84,28,75
517012,96,32,85
517013,60,23,80
517017,84,24,62
517018,42,14,68
517020,78,36,114
517021,120,42,112
517022,156,42,102
517023,66,35,129
517024,156,37,86
517026,84,39,122
517028,66,22,70
526003,48,17,73
526005,60,16,56
527001,36,7,47
527002,120,38,94
527004,108,30,72
527005,24,9,73
529001,72,32,100
529008,96,41,125
529015,96,35,94
529018,204,42,100
529020,204,42,100
529021,204,42,100
529022,132,40,96
529023,132,40,96
529024,204,42,100
529025,72,33,106
529026,66,32,111
529029,66,12,40
600001,132,30,66
600003,156,37,86
600006,96,28,70
600007,120,36,88
600008,120,36,88
600009,108,35,89
600010,108,33,84
601002,156,36,83
601007,156,32,71
601011,204,41,97
602001,120,40,100
602002,60,23,80
602003,66,25,83
602004,66,27,89
602005,84,28,75
602006,78,26,73
602007,72,23,68
602008,78,22,60
605002,96,21,49
605003,96,24,58
607004,78,41,145
607005,60,24,85
607006,156,33,74
608001,42,23,102
608002,48,22,91
608003,54,30,121
608004,78,33,98
608005,36,22,107
608006,28,8,62
608007,60,29,104
608008,132,33,77
608009,42,24,108
608010,42,20,90
608011,66,27,89
608012,78,27,78
608013,32,12,72
608014,66,32,111
609003,54,19,74
611007,78,28,82
612001,60,34,134
612002,54,26,98
612003,36,12,66
612004,24,13,90
612005,28,14,87
612006,28,18,105
612007,120,25,54
612008,108,39,102
612009,24,10,77
612010,28,10,71
612012,96,37,100
612013,108,37,95
612014,120,38,94
612017,78,34,101
701001,84,39,122
701004,132,27,57
705002,78,21,57
