ID,cogscore_teacher,agestrat
201044,26,66
201045,34,72
201051,30,66
201052,17,42
201053,22,66
201055,25,66
201056,28,60
202001,42,132
202002,41,108
202003,17,48
202004,42,108
202005,34,66
202006,27,54
202008,42,96
202009,25,42
202012,40,132
202014,18,42
202015,36,78
202017,42,120
202018,17,48
202021,23,54
202022,15,28
202024,17,24
202026,25,48
202027,38,78
202028,20,42
202029,34,60
202031,31,60
202032,24,42
202035,14,28
202037,30,42
202038,35,42
202039,37,78
202042,21,42
202043,21,32
202044,20,36
202047,24,48
202048,41,96
202049,28,42
202050,40,96
202051,38,96
202052,42,78
202055,25,32
202056,28,54
202058,21,48
202060,18,48
202061,21,48
202062,22,42
202066,21,42
202067,32,54
202068,18,28
202071,24,54
202073,34,72
202076,42,120
202077,30,96
202081,14,24
202082,41,108
202083,41,132
202085,41,132
202087,19,42
202088,31,48
202089,29,78
202090,31,72
202091,38,96
202092,20,42
202093,23,60
202094,41,120
202095,12,28
202096,38,96
202097,31,84
202098,38,108
202099,41,132
202101,24,48
202103,29,66
202105,15,24
202106,31,60
202107,37,132
202109,41,132
202110,33,132
206001,18,42
206005,30,84
206007,38,84
206008,23,84
206009,34,84
206010,40,84
206011,39,84
206013,37,84
206016,21,96
206017,30,84
206020,38,78
206024,39,84
207001,36,72
207004,39,96
207007,30,84
207009,42,120
207010,25,48
207013,20,24
207015,13,24
207017,41,120
207018,38,96
207021,30,60
207024,32,84
208001,23,54
208002,21,54
208003,25,54
208004,13,48
208005,24,48
208006,29,66
208007,23,60
208008,27,54
211002,27,60
211003,42,120
211004,41,132
211005,39,108
211006,22,54
211007,18,42
211008,42,132
211009,38,78
211012,14,24
211014,22,28
211020,37,108
215001,30,84
215002,26,48
215004,37,84
215005,41,120
216001,41,84
216009,40,84
216013,39,132
216016,35,96
216017,36,84
218003,32,66
218004,20,36
218007,22,24
218009,32,72
219001,39,78
219002,41,108
219003,31,54
219004,37,84
219005,40,84
219006,41,96
219007,29,72
219008,42,120
219009,42,96
219010,26,66
220001,40,108
220002,39,78
220003,22,42
220004,13,24
220005,42,132
220007,27,54
220008,41,108
220009,40,84
220011,30,66
220012,25,60
220013,26,66
220014,32,60
220015,31,60
220016,20,48
220017,31,66
220018,39,78
220020,28,78
220021,20,24
220022,15,24
220023,26,54
220028,42,96
220030,41,132
220031,42,132
220032,41,120
220034,41,132
220036,42,120
221001,19,36
221004,19,28
221005,39,72
221006,34,72
221007,14,32
221008,39,72
221009,34,72
221012,38,72
223001,22,42
223002,15,24
223004,34,72
223005,42,96
223006,21,36
223007,17,24
223008,33,96
223009,39,108
223010,20,28
224001,41,96
224002,37,78
224003,30,66
224004,15,32
224005,40,96
224006,37,72
224007,24,48
224008,13,28
224009,34,72
224010,39,96
224011,17,36
224012,17,36
224013,24,60
224014,28,60
224015,23,48
224016,21,42
224017,29,60
224018,22,48
224019,28,72
224020,34,66
227002,17,32
227003,35,66
227007,15,28
227010,19,28
227012,13,28
227014,16,24
227018,14,32
302001,42,96
302002,41,108
302005,38,78
302006,41,84
302007,42,120
302008,42,96
302009,39,78
302010,41,204
302011,42,132
501001,23,60
501002,25,48
501003,27,84
501006,21,48
501009,42,132
501021,31,72
501029,32,60
501032,26,48
503001,14,66
505005,18,60
505015,42,156
505016,23,66
505021,40,132
505024,22,42
505035,16,48
505036,13,54
505037,16,54
505038,10,42
505039,8,42
505040,17,60
506001,6,54
506003,10,78
506004,23,96
506005,21,72
506008,37,120
506009,28,84
506011,15,42
506014,19,54
506015,18,78
506016,10,42
506022,25,78
507005,20,54
508001,15,60
508002,15,60
508005,39,156
508007,42,204
508008,24,42
508009,24,72
508010,15,72
508011,25,66
508013,17,54
508014,35,120
508015,9,42
508016,34,108
508017,42,156
508019,8,36
508021,10,36
508022,12,42
508023,26,84
508024,24,84
508025,23,84
508026,39,120
508027,17,54
508028,20,96
508029,37,156
508030,23,132
508031,15,60
508032,12,54
508033,10,48
508034,40,84
510001,38,96
510004,19,72
510005,28,108
510007,34,132
510008,32,120
510009,35,156
510010,31,132
510014,35,132
510016,33,156
517001,25,78
517003,2,54
517004,39,108
517005,30,132
517007,42,156
517009,36,120
517010,42,156
517011,27,84
517012,27,96
517013,22,60
517017,24,84
517018,12,42
517020,36,78
517021,42,120
517022,42,156
517023,35,66
517024,36,156
517026,39,96
517028,19,66
526003,10,48
527002,24,132
527004,31,108
527005,7,24
529001,32,72
529008,41,96
529015,36,96
529018,41,204
529020,42,204
529021,42,204
529022,40,132
529023,41,132
529024,42,204
529025,33,72
529026,26,66
529029,17,66
600001,30,132
600003,38,156
600006,28,96
600007,40,120
600008,35,120
600009,34,108
600010,31,108
601002,41,156
601007,41,156
601011,40,204
602001,37,120
602002,23,60
602003,23,66
602004,29,66
602005,28,84
602006,24,78
602007,20,72
602008,24,78
605002,16,96
605003,22,96
607004,40,78
608001,23,42
608002,22,54
608003,29,60
608004,34,78
608005,20,36
608006,10,28
608007,29,60
608008,40,132
608009,22,42
608010,16,42
608011,23,66
608012,22,78
608013,9,32
608014,30,66
609003,17,54
612001,32,60
612002,24,54
612003,14,36
612004,13,24
612005,13,28
612006,18,28
612007,21,120
612008,28,108
612009,7,24
612010,7,28
612012,33,96
612013,35,108
612014,39,120
612017,32,84
701004,29,132
705002,17,78
