ID,agestrat,GDS_interview
223003,6,462
223004,72,588
223005,96,574
223006,36,642
223007,24,477
223008,96,474
223009,108,524
223010,28,381
224001,96,549
224002,78,552
224003,66,523
224004,32,482
224005,96,577
224006,72,591
224007,48,598
224008,28,574
224009,72,557
224010,96,558
224011,36,582
224012,36,509
224013,60,563
224014,60,465
224015,48,475
224016,42,491
224017,60,446
224018,48,383
224019,72,516
224020,66,587
224021,14,476
227001,4,490
227002,32,411
227003,66,498
227004,4,477
227005,6,551
227006,18,560
227007,28,461
227008,0,488
227009,20,519
227010,28,454
227011,6,502
227012,28,456
227013,16,590
227014,24,483
227015,4,482
227016,6,575
227017,22,571
227018,32,402
227019,0,465
227020,18,593
227021,10,579
227022,12,589
228001,8,489
228003,28,620
228004,24,532
228005,12,583
229001,10,513
229002,12,521
229003,14,474
229004,6,490
229005,12,537
229006,18,513
229007,0,471
229008,8,519
302001,96,623
302002,108,591
302004,22,463
302005,78,661
302006,84,650
302007,120,540
302008,96,519
302009,78,555
302010,204,500
302011,132,515
501001,60,388
501002,48,372
501003,84,486
501005,60,331
501006,48,356
501008,48,343
501009,132,511
501010,48,416
501011,72,275
501013,72,471
501014,72,457
501018,108,533
501019,72,435
501020,60,484
501021,72,497
501022,32,315
501023,60,499
501025,78,475
501026,120,479
501027,108,494
501029,60,372
501031,108,339
501032,48,500
503001,66,431
503007,66,262
505001,28,301
505002,28,315
505003,36,270
505004,24,415
505005,60,317
505008,42,405
505013,48,451
505015,156,404
505016,66,386
505021,132,407
505023,36,251
505024,42,419
505025,36,238
505030,32,343
505032,132,391
505033,132,283
505035,48,445
505036,54,356
505037,54,309
505038,42,362
505039,42,297
505040,60,393
506001,54,224
506003,78,375
506004,96,492
506005,72,430
506008,120,507
506009,84,386
506011,36,392
506014,54,356
506015,72,255
506016,42,397
506022,78,279
507002,66,418
507005,54,512
507006,66,361
508001,60,366
508002,60,391
508005,156,486
508007,204,447
508008,42,517
508009,72,300
508010,72,247
508011,66,299
508013,54,274
508014,120,288
508015,42,254
508016,108,378
508017,156,466
508019,36,265
508021,36,278
508022,42,250
508023,84,305
508024,84,334
508025,84,326
508026,120,505
508027,54,276
508028,84,388
508029,156,466
508030,132,273
508031,60,254
508032,54,250
508033,42,261
508034,84,370
510001,96,350
510004,72,342
510005,108,409
510007,132,446
510008,120,459
510009,156,473
510010,132,295
510014,132,396
510016,156,474
517001,78,394
517003,54,200
517004,108,550
517005,132,441
517007,156,481
517009,120,453
517010,156,486
517011,84,456
517012,96,466
517013,60,461
517017,84,424
517018,42,409
517020,78,524
517021,120,513
517022,156,508
517023,66,574
517024,156,462
517026,84,530
517028,66,422
526003,48,352
526005,60,299
527001,36,250
527002,120,319
527004,108,283
527005,24,343
529001,72,454
529008,96,544
529015,96,502
529018,204,500
529020,204,500
529021,204,500
529022,132,516
529023,132,505
529024,204,500
529025,72,523
529026,66,538
529029,66,267
600001,132,398
600003,156,427
600006,96,382
600007,120,382
600008,120,383
600009,108,384
600010,108,355
601002,156,376
601007,156,307
601011,204,464
602001,120,425
602002,60,379
602003,66,362
602004,66,415
602005,84,343
602006,78,348
602007,72,385
602008,78,285
605002,96,261
605003,96,366
607004,78,476
607005,60,432
607006,156,353
608001,42,551
608002,48,444
608003,54,552
608004,78,470
608005,36,630
608006,28,323
608007,60,552
608008,132,411
608009,42,558
608010,42,538
608011,66,506
608012,78,460
608013,32,440
608014,66,532
609003,54,411
611007,78,483
612001,60,654
612002,54,573
612003,36,445
612004,24,500
612005,28,453
612006,28,524
612007,120,331
612008,108,475
612009,24,301
612010,28,370
612012,96,485
612013,108,456
612014,120,463
612017,78,436
701001,84,515
701004,132,301
705002,78,291
