ID,agestrat,COGscore
133030,78,28
134001,132,42
134002,132,42
134003,96,41
134004,96,39
134005,96,38
134006,84,41
134007,72,29
134008,132,42
134009,132,42
134010,96,35
134011,96,41
134012,96,37
134013,96,41
134014,96,40
134016,72,33
134017,72,26
134018,72,34
134019,78,37
134020,132,42
134021,132,42
134022,66,31
134023,96,41
134024,96,33
134025,96,39
134026,84,37
134027,22,16
134028,22,8
134029,22,9
134030,20,16
134031,24,12
134032,12,11
134033,28,13
134034,96,41
134035,72,36
134036,24,16
134037,24,20
134039,108,38
134040,22,11
134041,32,17
134042,24,14
134043,14,10
134044,108,42
134046,32,13
134047,10,9
135001,96,42
135002,36,22
135003,120,42
135004,66,29
135005,14,7
135006,54,31
135007,54,30
135008,78,37
135009,66,31
135010,96,39
135012,72,31
135013,42,22
135014,6,7
135015,96,40
135016,204,42
135017,132,42
135018,204,42
135019,66,26
135020,132,42
135021,120,42
135022,10,5
135023,132,42
135024,120,42
135025,204,42
135026,84,35
135027,60,29
135028,32,18
135029,24,17
135030,4,5
136001,132,42
136002,6,5
136003,14,11
136004,132,42
136005,120,42
136006,60,30
136007,96,42
136008,8,6
136011,60,34
136012,2,3
136013,4,5
136014,12,12
136015,28,16
136016,28,16
136017,28,16
136019,24,13
136020,8,5
136021,6,6
136023,24,16
136024,6,5
136025,8,6
136030,16,11
137001,132,42
137002,108,42
137003,66,23
137004,36,17
137005,120,42
137006,84,41
137007,28,13
137008,48,23
137009,66,30
137010,36,19
137011,28,15
137012,54,27
137013,4,6
137014,12,11
137015,60,30
137016,0,3
137017,72,34
137018,48,22
137019,28,15
137020,96,39
137021,54,28
137022,16,10
137023,32,16
137024,4,5
137025,14,13
137026,66,33
137027,96,42
137028,72,37
137029,108,41
137030,78,39
137031,32,20
137032,84,36
137033,108,42
137034,48,28
137035,108,42
137036,66,38
137037,96,42
137038,72,41
137039,54,32
137040,72,36
137041,36,20
137042,10,7
137043,84,39
137044,18,13
137045,36,19
137046,18,16
137047,0,3
137051,66,28
137052,0,3
138001,132,42
138003,108,39
138004,84,37
138005,96,40
138006,204,42
138007,120,42
138008,78,32
138009,54,22
138010,132,42
138011,28,19
138012,132,42
138013,108,42
138014,2,3
138015,4,5
138016,120,40
138017,96,41
138018,12,8
138019,6,5
138020,12,6
138021,24,15
139001,8,6
139002,22,14
139003,48,29
139004,42,23
139005,18,10
139006,22,13
139007,16,10
139008,18,12
139009,48,23
139010,24,16
139011,6,5
139012,24,16
139013,42,25
139014,10,7
139015,42,24
139016,14,8
139017,10,6
139018,48,27
139019,32,21
139020,60,33
139021,48,26
139022,28,20
141001,14,17
141002,20,19
141003,16,18
141004,18,19
141005,14,18
141006,18,14
141007,22,19
141008,24,18
141009,20,20
141010,20,20
141011,22,19
141012,20,12
141013,24,22
141014,14,15
141015,18,20
141016,16,15
141017,16,19
141018,16,18
141019,14,17
141021,18,19
141022,22,22
141023,20,17
141024,22,22
141025,20,21
141026,28,22
141027,24,22
141028,32,22
141029,32,21
141030,28,18
141031,36,21
141032,36,22
141033,36,23
141034,42,22
141035,32,25
141036,42,22
141037,36,22
141038,42,20
141039,36,19
141040,42,22
141041,42,22
141042,42,24
141043,42,22
141044,54,23
141045,48,25
141046,54,22
141047,54,23
141048,48,28
141049,54,27
142001,22,18
142002,14,11
142003,22,20
142004,24,13
142005,24,15
142006,20,13
142007,10,7
142008,32,20
142009,0,2
142010,2,5
142011,8,6
142012,6,5
142013,32,17
142014,16,8
142015,16,12
142016,6,5
142017,32,22
142018,42,24
142019,6,6
142020,14,9
142021,16,12
142022,36,23
142023,60,30
142024,8,6
142025,20,15
142026,24,15
142027,4,3
142028,54,22
142029,36,14
142030,8,5
143001,132,42
143002,108,42
143003,48,27
143004,84,40
143005,84,39
143006,96,40
143007,72,35
143008,78,31
143009,60,26
143010,54,30
143011,32,20
143013,72,28
143017,60,32
143018,96,41
143019,132,42
143021,132,42
143022,132,42
143023,96,42
143024,32,16
143025,120,42
146001,0,3
146002,10,8
148001,84,30
148002,132,41
148003,66,26
148004,20,13
148005,54,30
148006,132,42
148007,108,40
148008,96,30
148009,132,42
148012,84,39
148013,84,33
148015,132,42
148016,48,18
148017,60,31
148018,28,19
148019,72,31
148020,14,11
148021,48,29
148022,108,37
148023,84,35
148024,42,22
148025,96,40
148026,78,31
148027,132,42
148028,60,25
148029,72,23
148030,84,32
148031,108,41
148032,20,13
151001,156,42
151002,120,42
151003,108,41
151004,156,42
151005,48,23
151006,36,19
151007,48,23
151008,78,33
151009,108,42
151010,42,21
151011,42,23
151012,84,35
151013,132,42
151014,36,20
151015,108,42
151016,78,27
151017,36,24
151018,132,42
151019,120,42
151020,132,42
151021,108,42
151022,132,42
151023,120,41
151024,132,42
151025,120,42
151026,120,42
151027,60,28
151028,66,28
151029,48,26
151030,66,31
151031,96,42
151032,96,36
151033,120,42
151034,120,42
151035,54,24
151036,96,40
151037,96,40
151038,108,41
151039,120,42
151040,132,42
151041,36,28
151042,84,36
151043,84,38
151044,84,39
151045,36,18
151046,96,38
151047,96,38
151048,120,42
151049,96,41
151050,24,16
151051,108,41
151052,84,36
151053,84,38
151054,108,40
151055,120,42
151056,96,27
151057,84,37
151058,84,39
151059,84,41
151060,96,42
154001,204,42
154002,32,20
154003,10,6
154004,204,40
154005,84,34
154006,10,13
154007,204,42
154008,204,41
154009,42,20
154010,120,39
154011,204,42
154012,204,42
154013,204,42
154014,204,42
154015,204,42
154016,204,42
154017,132,39
154018,120,41
154019,204,42
154020,204,42
154021,132,42
154022,132,38
154023,204,42
154024,84,40
154025,132,41
154026,204,42
154027,204,42
154028,108,41
154029,108,41
154030,132,37
154031,36,16
154032,12,7
154033,8,5
154035,20,11
154036,60,21
154037,72,24
154038,84,26
154039,132,42
154040,84,38
154041,66,33
154042,42,18
154043,28,17
154044,132,36
